"Marca temporal","1. Do you play video games?","2. Do you play card/board games?","3. Have you play card games similar to Golf/Skyjo/Poker ?","4. Have you played Cambio before?","5. Please select your age group:","1. Did you enjoy playing against Ben?","2. Do you feel Ben adjusted his strategy based on how you were playing?","3.  Did Ben feel predictable at any moment during the match?","4. Did Ben feel like he had a strategy?","5. Did Ben respond differently when you used special cards such as peek or swap?","6. Do you feel Ben was taking to long to play?","1. Did you enjoy playing against Eva?","2. Do you feel Eva adjusted his strategy based on how you were playing?","3.  Did Eva feel predictable at any moment during the match?","4. Did Eva feel like he had a strategy?","5. Did Eva respond differently when you used special cards such as peek or swap?","6. Do you feel Eva was taking to long to play?","1. Finally, Which AI do you feel was more interesting and fun to play against?"
"2026/08/05 7:14:57 p. m. CET","Yes, regularly","Occasionally","Yes","No","18–24","Agree","Agree","Disagree","Strongly agree","Yes","Strongly disagree","Strongly agree","Agree","Disagree","Strongly agree","Yes","Strongly disagree","Eva (blue)"
"2026/08/06 1:19:00 p. m. CET","Yes, regularly","Yes, regularly","Yes","No","24 - 34","Agree","Disagree","Strongly disagree","Agree","No","Agree","Disagree","Strongly disagree","Strongly disagree","Disagree","Yes","Strongly disagree","Ben (red)"
"2026/08/06 2:23:33 p. m. CET","Occasionally","Rarelly","No","No","24 - 34","Disagree","Agree","Disagree","Agree","Yes","Disagree","Strongly disagree","Disagree","Agree","Agree","Neutral","Strongly disagree","Ben (red)"
"2026/08/06 3:09:04 p. m. CET","Yes, regularly","Yes, regularly","Yes","Yes","18–24","Disagree","Disagree","Disagree","Agree","Yes","Strongly disagree","Agree","Disagree","Disagree","Agree","Yes","Disagree","Eva (purple)"
"2026/08/06 3:34:47 p. m. CET","Yes, regularly","Yes, regularly","Yes","Yes","24 - 34","Agree","Agree","Agree","Strongly agree","Yes","Disagree","Agree","Disagree","Strongly disagree","Disagree","Yes","Disagree","Ben (red)"
"2026/08/06 4:52:50 p. m. CET","Yes, regularly","Rarelly","No","No","24 - 34","Strongly disagree","Strongly disagree","Disagree","Agree","Yes","Disagree","Strongly disagree","Strongly disagree","Disagree","Agree","Neutral","Disagree","Ben (red)"
"2026/08/08 5:35:52 p. m. CET","Yes, regularly","Yes, regularly","Yes","No","24 - 34","Agree","Disagree","Disagree","Disagree","Yes","Strongly disagree","Agree","Agree","Disagree","Disagree","Neutral","Agree","Neutral"
"2026/08/08 10:31:44 p. m. CET","Occasionally","Rarelly","No","No","24 - 34","Disagree","Disagree","Strongly disagree","Disagree","Neutral","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Disagree","Neutral","Strongly disagree","Neutral"
"2026/08/09 3:30:47 p. m. CET","Yes, regularly","Occasionally","No","No","24 - 34","Disagree","Disagree","Disagree","Agree","Neutral","Strongly disagree","Disagree","Disagree","Disagree","Agree","Neutral","Strongly disagree","Neutral"
"2026/08/09 8:02:24 p. m. CET","Yes, regularly","Occasionally","No","No","24 - 34","Strongly agree","Disagree","Disagree","Agree","Neutral","Disagree","Strongly agree","Agree","Agree","Disagree","No","Disagree","Ben (red)"
"2026/08/10 5:48:25 p. m. CET","Occasionally","Occasionally","Yes","No","18–24","Agree","Agree","Disagree","Agree","No","Disagree","Disagree","Disagree","Disagree","Strongly agree","No","Disagree","Neutral"
"2026/08/10 6:27:54 p. m. CET","Yes, regularly","Occasionally","No","No","18–24","Agree","Disagree","Agree","Agree","Neutral","Agree","Agree","Strongly agree","Disagree","Agree","Yes","Disagree","Eva (purple)"
"2026/08/10 7:40:32 p. m. CET","Yes, regularly","Yes, regularly","No","Yes","24 - 34","Agree","Agree","Disagree","Disagree","Yes","Strongly disagree","Agree","Agree","Agree","Agree","Yes","Disagree","Eva (purple)"
"2026/08/10 8:38:19 p. m. CET","Yes, regularly","Yes, regularly","Yes","Yes","24 - 34","Strongly agree","Disagree","Agree","Agree","Yes","Strongly disagree","Strongly agree","Agree","Disagree","Agree","Yes","Strongly disagree","Neutral"
"2026/08/11 1:47:21 a. m. CET","Yes, regularly","Yes, regularly","Yes","No","24 - 34","Strongly agree","Disagree","Strongly disagree","Agree","Neutral","Agree","Agree","Agree","Agree","Strongly agree","Yes","Disagree","Eva (purple)"
"2026/08/11 2:31:10 p. m. CET","Yes, regularly","Occasionally","Yes","No","18–24","Agree","Agree","Disagree","Agree","Neutral","Strongly disagree","Disagree","Strongly disagree","Agree","Agree","Neutral","Strongly disagree","Ben (red)"
"2026/08/11 6:06:22 p. m. CET","Yes, regularly","Rarelly","No","No","24 - 34","Strongly agree","Agree","Strongly disagree","Agree","Neutral","Disagree","Strongly agree","Agree","Strongly disagree","Agree","Neutral","Strongly disagree","Eva (purple)"
"2026/08/13 1:33:45 a. m. CET","Yes, regularly","Occasionally","Yes","Yes","24 - 34","Agree","Agree","Strongly agree","Agree","Yes","Strongly agree","Agree","Strongly agree","Disagree","Strongly agree","Yes","Strongly disagree","Eva (purple)"
"2026/08/15 10:33:50 a. m. CET","Yes, regularly","Rarelly","Yes","No","18–24","Disagree","Agree","Disagree","Agree","Neutral","Disagree","Agree","Disagree","Agree","Agree","Yes","Strongly disagree","Eva (purple)"
"2026/08/16 1:11:55 p. m. CET","Yes, regularly","Yes, regularly","No","No","18–24","Agree","Disagree","Strongly agree","Agree","No","Strongly disagree","Disagree","Agree","Strongly disagree","Disagree","Neutral","Strongly disagree","Ben (red)"
