session_id,match_index,agent_label,bayesian_on,cambio_caller,cambio_caller_turn,cambio_ai_score,cambio_player_score,cambio_caller_was_ahead,cambio_ai_believed_score,guard_believed_own_mean,guard_believed_opp_mean,guard_p_ahead
20260731_114206,1,ben,0,Player,9,12,7,1,,,,
20260731_114206,2,ben,0,Player,1,28,7,1,,,,
20260731_114206,3,ben,0,AI,10,1,33,1,5.889,,,
20260731_114206,4,ben,0,Player,5,23,12,1,,,,
20260731_114206,5,ben,0,Player,3,24,16,1,,,,
20260731_114206,6,ben,0,AI,9,0,5,1,5.889,,,
20260731_114206,7,ben,0,Player,2,39,23,1,,,,
20260731_114206,9,ben,0,Player,1,33,24,1,,,,
20260731_114206,10,ben,0,Player,3,17,16,1,,,,
20260731_114206,11,ben,0,Player,3,26,9,1,,,,
20260731_114206,12,ben,0,AI,6,5,21,1,8.889,,,
20260731_114206,13,ben,0,Player,1,26,16,1,,,,
20260731_114206,14,ben,0,AI,12,4,9,1,9.889,,,
20260731_114206,15,ben,0,Player,2,23,14,1,,,,
20260731_114206,16,ben,0,Player,14,20,16,1,,,,
20260731_114206,17,ben,0,AI,10,0,5,1,10,,,
20260731_114206,18,ben,0,Player,4,20,18,1,,,,
20260731_114206,19,ben,0,Player,2,16,18,0,,,,
20260731_114206,20,ben,0,AI,6,0,25,1,5.889,,,
20260731_114206,21,ben,0,Player,1,15,18,0,,,,
20260731_114206,22,ben,0,Player,1,18,12,1,,,,
20260731_114206,23,ben,0,Player,2,16,5,1,,,,
20260731_114206,24,ben,0,AI,8,7,34,1,8,,,
20260731_114206,25,ben,0,Player,19,36,1,1,,,,
20260731_114206,26,ben,0,Player,5,25,11,1,,,,
20260731_114206,27,ben,0,Player,1,10,29,0,,,,
20260731_114206,28,ben,0,AI,4,0,22,1,5.889,,,
20260731_114206,29,ben,0,Player,2,47,18,1,,,,
20260731_114206,30,ben,0,AI,8,,43,1,5.889,,,
20260731_114206,31,ben,0,Player,3,24,14,1,,,,
20260731_114206,32,ben,0,Player,9,14,0,1,,,,
20260731_114206,33,ben,0,Player,1,22,26,0,,,,
20260731_114206,34,ben,0,AI,10,1,12,1,5.889,,,
20260731_114206,35,ben,0,Player,8,8,4,1,,,,
20260731_114206,36,ben,0,Player,2,28,16,1,,,,
20260731_114206,37,ben,0,Player,4,16,14,1,,,,
20260731_114206,38,ben,0,Player,1,30,15,1,,,,
20260731_114206,39,ben,0,Player,10,3,1,1,,,,
20260731_114206,40,ben,0,AI,13,0,4,1,5.889,,,
20260731_114206,41,ben,0,Player,15,10,0,1,,,,
20260731_114206,42,ben,0,Player,6,22,14,1,,,,
20260731_114206,43,ben,0,Player,1,34,12,1,,,,
20260731_114206,44,ben,0,AI,10,,25,1,6.889,,,
20260731_114206,45,ben,0,Player,3,11,3,1,,,,
20260731_114206,46,ben,0,AI,3,3,6,1,5.889,,,
20260731_114206,47,ben,0,AI,6,6,9,1,5.889,,,
20260731_114206,48,ben,0,Player,2,23,20,1,,,,
20260731_114206,49,ben,0,Player,5,11,3,1,,,,
20260731_114206,50,ben,0,AI,5,3,11,1,6.889,,,
20260731_114206,52,ben,0,Player,5,11,3,1,,,,
20260731_114206,53,ben,0,Player,1,33,12,1,,,,
20260731_114206,54,ben,0,AI,3,2,28,1,6.889,,,
20260731_114206,55,ben,0,Player,5,21,34,0,,,,
20260731_114206,56,ben,0,AI,18,10,21,1,27.667,,,
20260731_114206,57,ben,0,AI,3,9,35,1,8.889,,,
20260731_114206,58,ben,0,Player,3,35,9,1,,,,
20260731_114206,59,ben,0,AI,10,,38,1,5.889,,,
20260731_114206,60,ben,0,Player,5,24,5,1,,,,
20260731_114206,61,ben,0,Player,6,16,9,1,,,,
20260731_114206,62,ben,0,AI,6,9,16,1,8.889,,,
20260731_114206,63,ben,0,Player,1,23,11,1,,,,
20260731_114206,64,ben,0,Player,4,20,18,1,,,,
20260731_114206,65,ben,0,AI,11,1,9,1,5.889,,,
20260731_114206,66,ben,0,Player,4,8,7,1,,,,
20260731_114206,67,ben,0,Player,9,21,5,1,,,,
20260731_114206,68,ben,0,Player,1,24,13,1,,,,
20260731_114206,69,ben,0,Player,2,27,9,1,,,,
20260731_114206,70,ben,0,AI,3,2,23,1,6.889,,,
20260731_114206,71,ben,0,Player,8,15,14,1,,,,
20260731_114206,72,ben,0,Player,3,23,8,1,,,,
20260731_114206,73,ben,0,Player,1,26,23,1,,,,
20260731_114206,74,ben,0,AI,3,5,25,1,8.889,,,
20260731_114206,75,ben,0,Player,2,42,8,1,,,,
20260731_114206,76,ben,0,AI,12,0,20,1,5.889,,,
20260731_114206,77,ben,0,Player,1,37,21,1,,,,
20260731_114206,78,ben,0,AI,4,0,25,1,5.889,,,
20260731_114206,79,ben,0,Player,2,21,23,0,,,,
20260731_114206,80,ben,0,AI,17,1,20,1,5.889,,,
20260731_114206,81,ben,0,AI,3,7,20,1,9.889,,,
20260731_114206,82,ben,0,Player,1,25,6,1,,,,
20260731_114206,83,ben,0,Player,3,14,6,1,,,,
20260731_114206,84,ben,0,Player,2,15,7,1,,,,
20260731_114206,85,ben,0,AI,4,0,25,1,5.889,,,
20260731_114206,86,ben,0,Player,3,24,7,1,,,,
20260731_114206,87,ben,0,AI,3,1,31,1,5.889,,,
20260731_114206,88,ben,0,Player,2,23,9,1,,,,
20260731_114206,89,ben,0,Player,1,27,13,1,,,,
20260731_114206,90,ben,0,Player,8,9,1,1,,,,
20260731_114206,91,ben,0,AI,2,1,20,1,7.889,,,
20260731_114206,92,ben,0,Player,2,20,11,1,,,,
20260731_114206,93,ben,0,Player,1,20,14,1,,,,
20260731_114206,94,ben,0,Player,3,14,10,1,,,,
20260731_114206,95,ben,0,Player,1,30,19,1,,,,
20260731_114206,96,ben,0,AI,5,1,28,1,6.889,,,
20260731_114206,97,ben,0,AI,12,1,26,1,5.889,,,
20260731_114206,98,ben,0,Player,2,24,21,1,,,,
20260731_114206,99,ben,0,Player,4,26,28,0,,,,
20260731_114206,100,ben,0,Player,11,35,7,1,,,,
20260731_114206,101,ben,0,Player,1,31,6,1,,,,
20260731_114206,102,ben,0,AI,8,,24,1,5.889,,,
20260731_114206,103,ben,0,Player,3,30,9,1,,,,
20260731_114206,104,ben,0,Player,2,19,10,1,,,,
20260731_114206,105,ben,0,AI,7,1,9,1,5.889,,,
20260731_114206,106,ben,0,Player,4,15,3,1,,,,
20260731_114206,108,ben,0,Player,4,40,28,1,,,,
20260731_114206,109,ben,0,Player,14,29,10,1,,,,
20260731_114206,110,ben,0,Player,4,22,3,1,,,,
20260731_114206,111,ben,0,Player,1,18,9,1,,,,
20260731_114206,112,ben,0,AI,18,17,7,0,35.445,,,
20260731_114206,113,ben,0,Player,1,26,16,1,,,,
20260731_114206,114,ben,0,Player,1,26,25,1,,,,
20260731_114206,115,ben,0,Player,2,25,12,1,,,,
20260731_114206,116,ben,0,AI,18,3,11,1,23.556,,,
20260731_114206,117,ben,0,Player,3,25,13,1,,,,
20260731_114206,119,ben,0,AI,7,1,23,1,5.889,,,
20260731_114206,120,ben,0,Player,3,30,14,1,,,,
20260731_114206,121,ben,0,Player,1,33,10,1,,,,
20260731_114206,122,ben,0,Player,3,34,22,1,,,,
20260731_114206,123,ben,0,AI,10,,14,1,5.889,,,
20260731_114206,124,ben,0,Player,4,21,5,1,,,,
20260731_114206,125,ben,0,Player,1,25,9,1,,,,
20260731_114206,126,ben,0,AI,1,9,25,1,7.889,,,
20260731_114206,127,ben,0,Player,6,14,5,1,,,,
20260731_114206,128,ben,0,Player,1,25,18,1,,,,
20260731_114206,129,ben,0,Player,2,11,7,1,,,,
20260731_114206,130,ben,0,AI,4,5,10,1,5.889,,,
20260731_114206,131,ben,0,Player,1,27,10,1,,,,
20260731_114206,132,ben,0,AI,12,1,14,1,5.889,,,
20260731_114206,133,ben,0,Player,1,35,21,1,,,,
20260731_114206,134,ben,0,Player,11,31,0,1,,,,
20260731_114206,135,ben,0,Player,3,12,2,1,,,,
20260731_114206,136,ben,0,AI,3,2,12,1,8.889,,,
20260731_114206,137,ben,0,AI,6,0,15,1,8,,,
20260731_114206,138,ben,0,Player,2,19,11,1,,,,
20260731_114206,139,ben,0,Player,3,20,10,1,,,,
20260731_114206,141,ben,0,Player,1,28,2,1,,,,
20260731_114206,142,ben,0,AI,4,3,10,1,6.889,,,
20260731_114206,143,ben,0,Player,1,34,16,1,,,,
20260731_114206,144,ben,0,AI,5,3,39,1,5.889,,,
20260731_114206,145,ben,0,Player,1,31,5,1,,,,
20260731_114206,146,ben,0,AI,1,5,31,1,8.889,,,
20260731_114206,147,ben,0,Player,2,19,5,1,,,,
20260731_114206,148,ben,0,AI,8,3,4,1,5.889,,,
20260731_114206,149,ben,0,AI,13,0,27,1,5.889,,,
20260731_114206,150,ben,0,Player,1,32,6,1,,,,
20260731_114206,151,ben,0,Player,6,7,2,1,,,,
20260731_114206,152,ben,0,Player,2,31,12,1,,,,
20260731_114206,153,ben,0,Player,14,12,1,1,,,,
20260731_114206,154,ben,0,Player,3,17,12,1,,,,
20260731_114206,155,ben,0,Player,5,21,9,1,,,,
20260731_114206,156,ben,0,Player,4,23,16,1,,,,
20260731_114206,157,ben,0,Player,1,31,19,1,,,,
20260731_114206,158,ben,0,Player,6,25,25,0,,,,
20260731_114206,159,ben,0,AI,8,2,20,1,5.889,,,
20260731_114206,160,ben,0,Player,2,23,16,1,,,,
20260731_114206,161,ben,0,AI,3,7,30,1,8.889,,,
20260731_114206,162,ben,0,Player,2,29,17,1,,,,
20260731_114206,163,ben,0,Player,3,17,9,1,,,,
20260731_114206,164,ben,0,Player,5,15,4,1,,,,
20260731_114206,165,ben,0,Player,1,27,20,1,,,,
20260731_114206,166,ben,0,Player,4,27,18,1,,,,
20260731_114206,167,ben,0,AI,16,0,18,1,5.889,,,
20260731_114206,168,ben,0,Player,4,23,5,1,,,,
20260731_114206,169,ben,0,AI,7,,19,1,4.889,,,
20260731_114206,170,ben,0,Player,4,27,10,1,,,,
20260731_114206,171,ben,0,AI,11,2,12,1,6.889,,,
20260731_114206,172,ben,0,Player,1,30,18,1,,,,
20260731_114206,173,ben,0,AI,3,7,27,1,9.889,,,
