session_id,match_index,agent_label,bayesian_on,cambio_caller,cambio_caller_turn,cambio_ai_score,cambio_player_score,cambio_caller_was_ahead,cambio_ai_believed_score,guard_believed_own_mean,guard_believed_opp_mean,guard_p_ahead
20260731_114206,1,eva,1,AI,9,7,12,1,22.778,20.765,29.294,0.739
20260731_114206,2,eva,1,AI,1,7,28,1,15.778,16.077,24.154,0.762
20260731_114206,3,eva,1,Player,10,33,1,1,,,,
20260731_114206,4,eva,1,AI,5,12,23,1,17.778,16.093,25.233,0.785
20260731_114206,5,eva,1,AI,3,16,24,1,14.778,13.979,27.447,0.893
20260731_114206,6,eva,1,Player,9,5,0,1,,,,
20260731_114206,7,eva,1,AI,2,23,39,1,21.778,21.388,34.163,0.867
20260731_114206,9,eva,1,AI,1,24,33,1,19.778,19.765,29.412,0.792
20260731_114206,10,eva,1,AI,3,16,17,1,17.667,16.563,22.083,0.646
20260731_114206,11,eva,1,AI,3,9,26,1,14.778,14.404,34.213,0.961
20260731_114206,12,eva,1,Player,6,21,5,1,,,,
20260731_114206,13,eva,1,AI,1,16,26,1,14.778,14.961,29.902,0.923
20260731_114206,14,eva,1,Player,12,9,4,1,,,,
20260731_114206,15,eva,1,AI,2,14,23,1,19.778,19.224,28.061,0.766
20260731_114206,16,eva,1,AI,14,16,20,1,30.445,22.087,29.522,0.674
20260731_114206,17,eva,1,Player,10,5,0,1,,,,
20260731_114206,18,eva,1,AI,4,18,20,1,16.889,16.432,27.159,0.845
20260731_114206,19,eva,1,AI,2,18,16,0,18.889,18.521,27.604,0.795
20260731_114206,20,eva,1,Player,6,25,0,1,,,,
20260731_114206,21,eva,1,AI,1,18,15,0,13.778,14.118,24.235,0.83
20260731_114206,22,eva,1,AI,1,12,18,1,15.778,16.077,24.154,0.761
20260731_114206,23,eva,1,AI,2,5,16,1,19.778,19.633,29.082,0.794
20260731_114206,24,eva,1,Player,8,34,7,1,,,,
20260731_114206,25,eva,1,AI,19,1,36,1,33.556,,,
20260731_114206,26,eva,1,AI,5,11,25,1,17.778,16.14,30.419,0.897
20260731_114206,27,eva,1,AI,1,29,10,0,21.778,21.451,28.627,0.709
20260731_114206,28,eva,1,Player,4,22,0,1,,,,
20260731_114206,29,eva,1,AI,2,18,47,1,21.778,21.51,40.286,0.939
20260731_114206,30,eva,1,Player,8,43,,1,,,,
20260731_114206,31,eva,1,AI,3,14,24,1,21.778,21.064,27.66,0.689
20260731_114206,32,eva,1,AI,9,0,14,1,17.667,14,18.667,0.608
20260731_114206,33,eva,1,AI,1,26,22,0,14.778,14.961,23.922,0.794
20260731_114206,34,eva,1,Player,10,12,1,1,,,,
20260731_114206,35,eva,1,AI,8,4,8,1,11.778,9.235,13.853,0.634
20260731_114206,36,eva,1,AI,2,16,28,1,15.778,15.4,22.8,0.734
20260731_114206,37,eva,1,AI,4,14,16,1,15.889,15.488,32.93,0.958
20260731_114206,38,eva,1,AI,1,15,30,1,16.778,17.038,24.077,0.724
20260731_114206,39,eva,1,AI,10,1,3,1,11.778,8.774,13.161,0.626
20260731_114206,40,eva,1,Player,13,4,0,1,,,,
20260731_114206,41,eva,1,AI,15,0,10,1,0,0,13.688,0.964
20260731_114206,42,eva,1,AI,6,14,22,1,11.778,11.366,22.732,0.862
20260731_114206,43,eva,1,AI,1,12,34,1,21.778,21.686,29.216,0.726
20260731_114206,44,eva,1,Player,10,25,,1,,,,
20260731_114206,45,eva,1,AI,3,3,11,1,11.778,10.913,21.826,0.846
20260731_114206,46,eva,1,Player,3,6,3,1,,,,
20260731_114206,47,eva,1,Player,6,9,6,1,,,,
20260731_114206,48,eva,1,AI,2,20,23,1,15.889,15.694,22.776,0.738
20260731_114206,49,eva,1,AI,5,3,11,1,6.889,6.925,17.775,0.895
20260731_114206,50,eva,1,Player,5,11,3,1,,,,
20260731_114206,52,eva,1,AI,5,3,11,1,20.778,20.302,28.256,0.725
20260731_114206,53,eva,1,AI,1,12,33,1,16.889,16.74,22.96,0.708
