session_id,match_index,agent_label,bayesian_on,completed,winner,ai_score,player_score,ai_turns,ai_swaps,ai_discards,ai_swap_value_delta_avg,ai_unknown_swaps,ai_hidden_own_avg,ai_match_attempts,ai_match_success,ai_match_fail,ai_matches_on_own,ai_matches_on_opponent,ai_penalties,ai_power_cards_drawn,ai_powers_played,ai_power_look_own,ai_power_look_opp,ai_power_blind_swap,ai_power_look_swap,ai_decision_ms_avg
20260731_114206,1,ben,0,1,Player,12,7,10,2,8,-4.5,1,2.906,2,0,2,0,0,2,5,5,1,2,2,0,
20260731_114206,2,ben,0,1,Player,31,4,1,0,1,,0,2,0,0,0,0,0,0,1,1,0,0,1,0,
20260731_114206,3,ben,0,1,AI,1,33,10,5,4,-1.2,3,2.067,5,4,1,1,3,1,5,2,0,1,1,0,
20260731_114206,4,ben,0,1,Player,23,12,5,3,2,-4,0,2.455,3,1,2,1,0,2,2,0,0,0,0,0,
20260731_114206,5,ben,0,1,Player,24,16,4,2,2,-2,2,2.5,1,0,1,0,0,1,3,2,0,1,1,0,
20260731_114206,6,ben,0,1,AI,0,5,9,2,6,-3.5,2,1.971,3,3,0,0,3,0,7,5,2,2,0,1,
20260731_114206,7,ben,0,1,Player,39,23,3,2,1,-3.5,0,3.25,2,0,2,0,0,2,2,1,0,1,0,0,
20260731_114206,8,ben,0,1,AI,15,42,19,9,10,-1.556,1,4,11,3,8,2,1,4,7,2,1,1,0,0,
20260731_114206,9,ben,0,1,Player,33,24,2,1,1,-2,0,2.667,1,0,1,0,0,1,2,1,1,0,0,0,
20260731_114206,10,ben,0,1,AI,15,16,3,3,0,-3,3,2,0,0,0,0,0,0,1,0,0,0,0,0,
20260731_114206,11,ben,0,1,AI,18,22,4,2,2,-3,0,2.625,5,2,3,0,2,3,1,1,0,0,0,1,
20260731_114206,12,ben,0,1,AI,7,19,6,2,3,-4,2,1.944,2,2,0,1,1,0,4,2,1,0,1,0,
20260731_114206,13,ben,0,1,Player,26,16,2,1,1,-9,0,2.5,1,0,1,0,0,1,0,0,0,0,0,0,
20260731_114206,14,ben,0,1,AI,4,9,12,4,7,0,2,2.054,4,3,1,1,2,1,7,4,1,0,2,1,
20260731_114206,15,ben,0,1,Player,23,14,3,2,1,-2.5,1,2.333,1,0,1,0,0,1,0,0,0,0,0,0,
20260731_114206,16,ben,0,1,AI,12,24,14,5,9,-1.6,4,4.608,12,2,10,2,0,5,9,7,2,2,3,0,
20260731_114206,17,ben,0,1,AI,0,5,10,3,6,0.667,3,1.152,3,3,0,1,2,0,6,4,0,2,1,1,
20260731_114206,18,ben,0,1,Player,20,18,4,2,2,-4,1,2.867,3,1,2,0,1,2,2,2,0,1,1,0,
20260731_114206,19,ben,0,1,AI,16,18,3,2,1,-5.5,1,2.667,1,0,1,0,0,1,0,0,0,0,0,0,
20260731_114206,20,ben,0,1,AI,0,25,6,3,2,-2.333,2,1.609,7,5,2,4,1,2,2,2,0,0,1,1,
20260731_114206,21,ben,0,1,AI,14,18,2,2,0,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,
20260731_114206,22,ben,0,1,Player,18,12,1,0,1,,0,2,0,0,0,0,0,0,1,1,0,1,0,0,
20260731_114206,23,ben,0,1,Player,9,7,3,2,1,-4.5,1,2.25,2,1,1,0,1,1,0,0,0,0,0,0,
20260731_114206,24,ben,0,1,AI,7,34,8,3,4,-0.333,1,1.321,8,5,3,2,3,3,4,2,2,0,0,0,
20260731_114206,25,ben,0,1,Player,36,1,19,2,17,-2,0,2.651,7,3,4,0,3,4,8,8,2,3,1,2,
20260731_114206,26,ben,0,1,Player,25,11,5,4,1,-2.5,3,2.769,4,1,3,0,1,3,3,0,0,0,0,0,
20260731_114206,27,ben,0,1,AI,19,29,2,2,0,1,0,2.5,1,0,1,0,0,1,1,0,0,0,0,0,
20260731_114206,28,ben,0,1,AI,0,22,4,2,1,-1.5,1,1.909,3,3,0,3,0,0,3,1,0,0,1,0,
20260731_114206,29,ben,0,1,Player,46,19,3,1,2,-1,0,3.909,3,0,3,0,0,3,3,2,1,0,1,0,
20260731_114206,30,ben,0,1,AI,2,40,8,2,5,1,0,2.036,5,4,1,1,3,1,4,3,0,1,2,0,
20260731_114206,31,ben,0,1,Player,24,14,4,2,2,-3,1,2.333,1,0,1,0,0,1,3,2,1,1,0,0,
20260731_114206,32,ben,0,1,Player,10,0,9,7,2,-2.286,3,2.125,5,3,2,2,1,2,3,1,1,0,0,0,
20260731_114206,33,ben,0,1,AI,22,26,2,0,2,,0,2,0,0,0,0,0,0,1,1,0,0,1,0,
20260731_114206,34,ben,0,1,AI,1,12,10,5,4,-1.4,4,1.963,3,3,0,2,1,0,3,2,0,1,1,0,
20260731_114206,35,ben,0,1,Player,8,4,9,2,7,-1.5,2,2.625,3,2,1,2,0,1,6,6,2,2,2,0,
20260731_114206,36,ben,0,1,Player,28,16,2,1,1,-10,1,2,0,0,0,0,0,0,1,1,0,1,0,0,
20260731_114206,37,ben,0,1,Player,16,14,5,3,2,-3.667,1,2.5,4,1,3,1,0,3,3,1,0,1,0,0,
20260731_114206,38,ben,0,1,Player,30,15,1,0,1,,0,2,0,0,0,0,0,0,1,1,0,1,0,0,
20260731_114206,39,ben,0,1,Player,3,1,11,3,8,-3.667,1,2,1,1,0,0,1,0,5,3,0,0,3,0,
20260731_114206,40,ben,0,1,AI,0,4,13,4,8,-1,2,2.409,7,5,2,2,3,2,8,5,1,1,3,0,
20260731_114206,41,ben,0,1,Player,10,0,16,7,9,-0.143,7,2.318,5,3,2,2,1,2,7,4,1,1,2,0,
20260731_114206,42,ben,0,1,Player,22,14,6,2,4,0.5,1,2.118,2,1,1,1,0,1,3,2,0,1,1,0,
20260731_114206,43,ben,0,1,Player,34,12,2,1,1,-9,0,2.5,1,0,1,0,0,1,0,0,0,0,0,0,
20260731_114206,44,ben,0,1,AI,9,25,10,5,4,-1.4,1,2.148,7,4,3,2,2,3,2,1,1,0,0,0,
20260731_114206,45,ben,0,1,Player,6,3,4,2,2,-2,1,1.286,3,2,1,2,0,1,3,2,1,1,0,0,
20260731_114206,46,ben,0,1,AI,3,6,3,1,1,-10,1,1.909,3,3,0,1,2,0,1,1,0,0,1,0,
20260731_114206,47,ben,0,1,AI,0,13,6,2,3,-8.5,2,1.211,3,3,0,1,2,0,2,2,1,1,0,0,
20260731_114206,48,ben,0,1,Player,23,20,2,0,2,,0,2,0,0,0,0,0,0,2,2,1,0,0,1,
20260731_114206,49,ben,0,1,Player,11,3,6,1,5,-1,1,1.5,3,2,1,2,0,1,3,3,1,0,2,0,
20260731_114206,50,ben,0,1,AI,3,11,5,2,2,-0.5,1,1.077,2,2,0,2,0,0,2,1,0,0,0,1,
20260731_114206,51,ben,0,1,Player,11,9,18,10,8,-1.6,9,3.25,12,7,5,2,5,5,7,4,1,0,3,0,
20260731_114206,52,ben,0,1,AI,7,9,5,1,4,-9,0,3.095,4,1,3,1,0,3,4,4,3,0,1,0,
20260731_114206,53,ben,0,1,Player,33,12,2,1,1,-1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,
20260731_114206,54,ben,0,1,AI,2,28,3,1,1,-5,0,1.25,4,3,1,1,2,1,1,1,0,1,0,0,
20260731_114206,55,ben,0,1,AI,21,34,6,4,2,-2.5,1,4.063,3,0,3,0,0,3,2,1,0,0,1,0,
20260731_114206,56,ben,0,1,AI,10,21,18,12,5,-0.917,7,2.849,15,7,8,4,3,7,8,1,0,0,1,0,
20260731_114206,57,ben,0,1,AI,9,35,3,1,1,0,1,1.889,2,2,0,1,1,0,2,1,1,0,0,0,
20260731_114206,58,ben,0,1,Player,35,9,3,2,1,-3,1,3.143,2,0,2,0,0,2,1,0,0,0,0,0,
20260731_114206,59,ben,0,1,AI,-1,38,10,5,4,0.4,4,2.368,7,5,2,1,4,2,7,4,0,0,3,1,
20260731_114206,60,ben,0,1,Player,18,11,5,3,2,-2.333,0,3.353,4,1,3,0,1,3,3,2,1,0,1,0,
20260731_114206,61,ben,0,1,Player,16,9,7,4,3,-1,0,3.2,2,0,2,0,0,2,4,2,0,1,0,1,
20260731_114206,62,ben,0,1,AI,9,16,6,2,3,0,2,1.8,2,2,0,1,1,0,2,1,0,1,0,0,
20260731_114206,63,ben,0,1,Player,23,11,2,1,1,-5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,
20260731_114206,64,ben,0,1,AI,18,20,4,2,2,-2,1,4.267,3,0,3,0,0,3,3,2,0,1,0,1,
20260731_114206,65,ben,0,1,AI,1,9,11,4,6,-2.25,4,2.286,5,4,1,3,1,1,6,4,1,0,3,0,
20260731_114206,66,ben,0,1,Draw,7,7,4,3,1,-5.667,1,2.091,2,1,1,1,0,1,1,1,0,1,0,0,
20260731_114206,67,ben,0,1,Player,18,7,10,4,6,1,3,2.061,2,1,1,0,1,1,5,5,3,0,1,1,
20260731_114206,68,ben,0,1,Player,24,13,1,0,1,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20260731_114206,69,ben,0,1,Player,27,9,3,2,1,1.5,1,3.286,2,0,2,0,0,2,2,0,0,0,0,0,
20260731_114206,70,ben,0,1,AI,2,23,3,1,1,-3,1,1.917,2,2,0,0,2,0,1,1,0,0,0,1,
20260731_114206,71,ben,0,1,AI,8,14,9,6,3,-2.333,5,2.56,3,1,2,0,1,2,3,2,0,0,2,0,
20260731_114206,72,ben,0,1,AI,12,18,3,1,2,-7,0,4,3,0,3,0,0,3,2,2,0,1,1,0,
20260731_114206,73,ben,0,1,Player,26,23,2,1,1,-3,1,2,0,0,0,0,0,0,2,0,0,0,0,0,
20260731_114206,74,ben,0,1,AI,5,25,3,1,1,-8,1,1.889,2,2,0,0,2,0,1,0,0,0,0,0,
20260731_114206,75,ben,0,1,Player,42,8,3,1,2,-11,0,2.667,1,0,1,0,0,1,0,0,0,0,0,0,
20260731_114206,76,ben,0,1,AI,0,20,12,3,8,0.667,0,2.447,9,6,3,2,4,3,7,6,0,4,2,0,
20260731_114206,77,ben,0,1,Player,37,21,2,1,1,-4,0,2.5,1,0,1,0,0,1,0,0,0,0,0,0,
20260731_114206,78,ben,0,1,AI,0,25,4,2,1,-6,1,1.235,5,4,1,0,4,1,2,1,1,0,0,0,
20260731_114206,79,ben,0,1,AI,21,23,3,1,2,-6,0,3.5,2,0,2,0,0,2,2,1,0,0,0,1,
20260731_114206,80,ben,0,1,AI,1,20,17,7,9,-0.571,1,2.379,9,6,3,2,4,3,11,6,1,2,3,0,
20260731_114206,81,ben,0,1,AI,7,20,3,2,0,0,0,2,3,2,1,2,0,1,1,0,0,0,0,0,
20260731_114206,82,ben,0,1,Player,25,6,1,0,1,,0,2,0,0,0,0,0,0,1,1,0,1,0,0,
20260731_114206,83,ben,0,1,Player,14,6,4,2,2,1,0,2.5,1,0,1,0,0,1,4,2,1,0,1,0,
20260731_114206,84,ben,0,1,Player,15,7,2,1,1,-7,1,2,0,0,0,0,0,0,1,1,1,0,0,0,
