session_id,match_index,agent_label,bayesian_on,completed,winner,ai_score,player_score,ai_turns,ai_swaps,ai_discards,ai_swap_value_delta_avg,ai_unknown_swaps,ai_hidden_own_avg,ai_match_attempts,ai_match_success,ai_match_fail,ai_matches_on_own,ai_matches_on_opponent,ai_penalties,ai_power_cards_drawn,ai_powers_played,ai_power_look_own,ai_power_look_opp,ai_power_blind_swap,ai_power_look_swap,ai_decision_ms_avg
20260731_114206,1,eva,1,1,AI,7,12,9,1,7,-6,0,2.935,4,2,2,1,1,2,6,5,2,1,1,1,
20260731_114206,2,eva,1,1,AI,4,31,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20260731_114206,3,eva,1,1,Player,33,1,10,4,6,-3.5,1,3.824,7,2,5,2,0,5,7,5,1,3,0,1,
20260731_114206,4,eva,1,1,AI,12,23,5,2,2,-3.5,2,2,1,1,0,0,1,0,3,2,0,1,1,0,
20260731_114206,5,eva,1,1,AI,16,24,3,1,1,1,1,2,1,1,0,0,1,0,2,0,0,0,0,0,
20260731_114206,6,eva,1,1,Player,5,0,10,4,6,-2,4,2.179,3,2,1,2,0,1,4,3,1,0,2,0,
20260731_114206,7,eva,1,1,AI,23,39,2,1,0,-3,0,2.25,2,1,1,1,0,1,1,0,0,0,0,0,
20260731_114206,8,eva,1,1,Player,42,15,19,7,12,-3.286,3,4.458,6,1,5,1,0,4,7,3,1,1,0,1,
20260731_114206,9,eva,1,1,AI,24,33,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20260731_114206,10,eva,1,1,Player,16,15,3,1,1,-2,0,2.714,3,2,1,2,0,1,2,0,0,0,0,0,
20260731_114206,11,eva,1,1,Player,22,18,3,2,0,-4,2,2,2,1,1,0,1,1,1,0,0,0,0,0,
20260731_114206,12,eva,1,1,Player,19,7,7,3,4,-5.333,1,3.414,7,2,5,1,1,5,4,4,0,0,2,2,
20260731_114206,13,eva,1,1,AI,16,26,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20260731_114206,14,eva,1,1,Player,9,4,13,6,7,-4.333,3,1.85,4,3,1,3,0,1,7,5,2,1,1,1,
20260731_114206,15,eva,1,1,AI,14,23,2,1,0,-6,1,2,1,1,0,1,0,0,0,0,0,0,0,0,
20260731_114206,16,eva,1,1,Player,24,12,14,6,7,-3.167,5,5.068,10,2,8,2,0,4,6,4,0,1,2,1,
20260731_114206,17,eva,1,1,Player,5,0,10,5,5,-3.4,4,2.813,7,4,3,2,2,3,2,2,0,0,2,0,
20260731_114206,18,eva,1,1,AI,18,20,4,1,2,-1,1,1.545,1,1,0,0,1,0,2,1,0,0,1,0,
20260731_114206,19,eva,1,1,Player,18,16,2,1,0,-2,0,1.4,3,2,1,2,0,1,0,0,0,0,0,0,
20260731_114206,20,eva,1,1,Player,25,0,7,4,3,-1.5,2,3.222,3,1,2,1,0,2,2,1,0,0,1,0,
20260731_114206,21,eva,1,1,Player,18,14,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20260731_114206,22,eva,1,1,AI,12,18,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20260731_114206,23,eva,1,1,AI,7,9,2,1,0,-10,0,1.5,2,1,1,1,0,1,0,0,0,0,0,0,
20260731_114206,24,eva,1,1,Player,34,7,9,3,6,-2.667,2,4.391,6,1,5,1,0,4,2,1,1,0,0,0,
20260731_114206,25,eva,1,1,AI,1,36,19,8,10,-1.5,5,2.855,11,4,7,2,2,5,10,4,1,0,3,0,
20260731_114206,26,eva,1,1,AI,11,25,5,0,4,,0,2,1,1,0,0,1,0,4,4,1,2,0,1,
20260731_114206,27,eva,1,1,Player,29,19,1,0,0,,0,2,1,1,0,1,0,0,0,0,0,0,0,0,
20260731_114206,28,eva,1,1,Player,22,0,5,4,1,-3.5,3,3.545,2,0,2,0,0,2,2,0,0,0,0,0,
20260731_114206,29,eva,1,1,AI,19,46,2,0,1,,0,2,0,0,0,0,0,0,1,1,0,0,1,0,
20260731_114206,30,eva,1,1,Player,40,2,9,1,8,-1,0,4.556,3,0,3,0,0,3,5,4,2,1,1,0,
20260731_114206,31,eva,1,1,AI,14,24,3,2,0,-5,1,2.167,2,1,1,1,0,1,0,0,0,0,0,0,
20260731_114206,32,eva,1,1,AI,0,10,9,2,6,-3,1,3.033,5,3,2,1,2,2,5,4,2,1,1,0,
20260731_114206,33,eva,1,1,Player,26,22,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20260731_114206,34,eva,1,1,Player,12,1,11,5,6,-1.2,4,2.529,5,3,2,2,1,2,6,4,0,2,2,0,
20260731_114206,35,eva,1,1,AI,4,8,8,4,3,-6,2,2.083,4,3,1,2,1,1,4,3,2,0,1,0,
20260731_114206,36,eva,1,1,AI,16,28,2,1,0,-5,1,2,1,1,0,1,0,0,0,0,0,0,0,0,
20260731_114206,37,eva,1,1,AI,14,16,4,1,2,-6,1,1.917,1,1,0,1,0,0,2,2,1,0,1,0,
20260731_114206,38,eva,1,1,AI,15,30,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20260731_114206,39,eva,1,1,AI,1,3,10,4,5,-1,2,2.484,4,3,1,2,1,1,7,4,0,1,3,0,
20260731_114206,40,eva,1,1,Player,4,0,14,5,9,-1.4,3,2.154,2,1,1,0,1,1,6,4,1,0,3,0,
20260731_114206,41,eva,1,1,AI,0,10,15,5,9,-2.2,4,2.213,8,6,2,4,2,2,7,4,1,1,1,1,
20260731_114206,42,eva,1,1,AI,14,22,6,3,2,-2,3,2,2,2,0,2,0,0,2,0,0,0,0,0,
20260731_114206,43,eva,1,1,AI,12,34,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20260731_114206,44,eva,1,1,Player,25,9,11,4,7,-2,2,2.667,2,1,1,0,1,1,5,3,1,2,0,0,
20260731_114206,45,eva,1,1,AI,3,6,3,1,1,-10,1,2,2,2,0,1,1,0,1,1,0,0,1,0,
20260731_114206,46,eva,1,1,Player,6,3,4,2,2,-2,1,1.538,2,1,1,1,0,1,3,2,1,1,0,0,
20260731_114206,47,eva,1,1,Player,13,0,6,2,4,-3,1,2.8,5,3,2,2,1,2,4,4,1,0,2,1,
20260731_114206,48,eva,1,1,AI,20,23,2,1,0,-9,1,1.8,1,1,0,0,1,0,0,0,0,0,0,0,
20260731_114206,49,eva,1,1,AI,3,11,5,2,2,-0.5,1,1.077,2,2,0,2,0,0,2,1,0,0,0,1,
20260731_114206,50,eva,1,1,Player,11,3,6,1,5,-1,1,1.5,3,2,1,2,0,1,3,3,1,0,2,0,
20260731_114206,51,eva,1,1,AI,9,11,18,3,15,-3.667,1,4.13,9,3,6,3,0,5,12,12,3,5,3,1,
20260731_114206,52,eva,1,1,Player,9,7,5,4,0,-4,3,2.333,3,2,1,1,1,1,0,0,0,0,0,0,
20260731_114206,53,eva,1,1,AI,12,33,1,0,0,,0,1.5,1,1,0,1,0,0,0,0,0,0,0,0,
20260731_114206,54,eva,1,1,Player,28,2,4,3,1,-4,2,3,2,0,2,0,0,2,1,0,0,0,0,0,
20260731_114206,55,eva,1,1,Player,34,21,5,2,2,-2.5,1,2.929,5,2,3,1,1,3,1,0,0,0,0,0,
20260731_114206,56,eva,1,1,Player,21,10,18,12,6,-1.667,5,5.094,14,1,13,1,0,4,9,3,0,1,2,0,
20260731_114206,57,eva,1,1,Player,35,9,3,2,1,-3,1,3.143,2,0,2,0,0,2,1,0,0,0,0,0,
20260731_114206,58,eva,1,1,AI,9,35,3,1,1,0,1,1.889,2,2,0,1,1,0,2,1,1,0,0,0,
20260731_114206,59,eva,1,1,Player,38,-1,10,3,7,-2.333,0,4.097,6,1,5,0,1,4,5,4,2,2,0,0,
20260731_114206,60,eva,1,1,AI,11,18,5,3,1,-4,2,2.4,3,2,1,0,2,1,3,1,0,0,1,0,
20260731_114206,61,eva,1,1,AI,9,16,6,2,3,0,2,1.8,2,2,0,1,1,0,2,1,0,1,0,0,
20260731_114206,62,eva,1,1,Player,16,9,7,4,3,-1,0,3.2,2,0,2,0,0,2,4,2,0,1,0,1,
20260731_114206,63,eva,1,1,AI,11,23,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20260731_114206,64,eva,1,1,Player,20,18,4,2,1,-4.5,1,2.8,2,0,2,0,0,2,1,1,0,1,0,0,
20260731_114206,65,eva,1,1,Player,9,1,11,5,6,-3.6,3,2.032,2,1,1,1,0,1,4,4,2,2,0,0,
20260731_114206,66,eva,1,1,Draw,7,7,4,2,1,-3,2,2,2,2,0,1,1,0,2,1,0,0,1,0,
