session_id,match_index,agent_label,bayesian_on,ply,ai_turn,is_opponent_slot,opp_knows,tilt_raw,tilt_eff,true_value
20260810_171200,1,ICMCTS,0,2,1,1,0,1.68,0,3
20260810_171200,1,ICMCTS,0,2,1,1,1,0.393,0,8
20260810_171200,1,ICMCTS,0,2,1,1,0,0,0,2
20260810_171200,1,ICMCTS,0,2,1,1,0,0,0,10
20260810_171200,1,ICMCTS,0,2,1,0,0,0,0,9
20260810_171200,1,ICMCTS,0,2,1,0,0,0,0,6
20260810_171200,1,ICMCTS,0,3,1,1,0,1.673,0,3
20260810_171200,1,ICMCTS,0,3,1,1,1,0.387,0,8
20260810_171200,1,ICMCTS,0,3,1,1,0,0,0,2
20260810_171200,1,ICMCTS,0,3,1,1,0,0,0,10
20260810_171200,1,ICMCTS,0,3,1,0,0,0,0,9
20260810_171200,1,ICMCTS,0,3,1,0,0,0,0,6
20260810_171200,1,ICMCTS,0,7,2,1,0,1.635,0,3
20260810_171200,1,ICMCTS,0,7,2,1,1,0.775,0,8
20260810_171200,1,ICMCTS,0,7,2,1,0,0,0,2
20260810_171200,1,ICMCTS,0,7,2,1,0,1.438,0,7
20260810_171200,1,ICMCTS,0,7,2,1,0,0,0,4
20260810_171200,1,ICMCTS,0,7,2,0,0,0,0,6
20260810_171200,1,ICMCTS,0,8,2,1,0,1.661,0,3
20260810_171200,1,ICMCTS,0,8,2,1,1,0.784,0,8
20260810_171200,1,ICMCTS,0,8,2,1,0,0,0,2
20260810_171200,1,ICMCTS,0,8,2,1,0,1.458,0,7
20260810_171200,1,ICMCTS,0,8,2,1,0,0,0,4
20260810_171200,1,ICMCTS,0,8,2,0,0,0,0,6
20260810_171200,1,ICMCTS,0,12,3,1,0,1.709,0,3
20260810_171200,1,ICMCTS,0,12,3,1,1,1.211,0,8
20260810_171200,1,ICMCTS,0,12,3,1,0,3.408,0,3
20260810_171200,1,ICMCTS,0,12,3,1,0,1.499,0,7
20260810_171200,1,ICMCTS,0,12,3,1,0,0,0,4
20260810_171200,2,ICMCTS,0,2,1,1,1,0.354,0,4
20260810_171200,2,ICMCTS,0,2,1,1,0,1.342,0,6
20260810_171200,2,ICMCTS,0,2,1,1,0,0,0,5
20260810_171200,2,ICMCTS,0,2,1,1,0,0,0,6
20260810_171200,2,ICMCTS,0,2,1,0,0,0,0,1
20260810_171200,2,ICMCTS,0,2,1,0,0,0,0,6
20260810_171200,2,ICMCTS,0,3,1,1,1,0.347,0,4
20260810_171200,2,ICMCTS,0,3,1,1,0,1.329,0,6
20260810_171200,2,ICMCTS,0,3,1,1,0,0,0,5
20260810_171200,2,ICMCTS,0,3,1,1,0,0,0,6
20260810_171200,2,ICMCTS,0,3,1,0,0,0,0,1
20260810_171200,2,ICMCTS,0,3,1,0,0,0,0,6
20260810_171200,2,ICMCTS,0,8,2,1,1,0.691,0,4
20260810_171200,2,ICMCTS,0,8,2,1,0,1.303,0,6
20260810_171200,2,ICMCTS,0,8,2,1,0,0,0,5
20260810_171200,2,ICMCTS,0,8,2,0,0,0,0,6
20260810_171200,2,ICMCTS,0,8,2,0,0,0,0,1
20260810_171200,2,ICMCTS,0,8,2,0,0,0,0,6
20260810_171200,2,ICMCTS,0,9,2,1,1,0.703,0,4
20260810_171200,2,ICMCTS,0,9,2,1,0,1.325,0,6
20260810_171200,2,ICMCTS,0,9,2,1,0,0,0,5
20260810_171200,2,ICMCTS,0,9,2,0,0,0,0,6
20260810_171200,2,ICMCTS,0,9,2,0,0,0,0,1
20260810_171200,2,ICMCTS,0,9,2,0,0,0,0,6
20260810_171200,2,ICMCTS,0,10,2,1,1,0.703,0,4
20260810_171200,2,ICMCTS,0,10,2,1,0,1.325,0,6
20260810_171200,2,ICMCTS,0,10,2,1,0,0,0,5
20260810_171200,2,ICMCTS,0,10,2,0,0,0,0,6
20260810_171200,2,ICMCTS,0,10,2,0,0,0,0,1
20260810_171200,2,ICMCTS,0,10,2,0,0,0,0,6
20260810_171200,2,ICMCTS,0,11,2,1,1,0.689,0,4
20260810_171200,2,ICMCTS,0,11,2,1,0,1.31,0,6
20260810_171200,2,ICMCTS,0,11,2,1,0,0,0,5
20260810_171200,2,ICMCTS,0,11,2,0,0,0,0,6
20260810_171200,2,ICMCTS,0,11,2,0,0,0,0,6
20260810_171200,2,ICMCTS,0,16,3,1,1,1.036,0,4
20260810_171200,2,ICMCTS,0,16,3,1,0,1.305,0,6
20260810_171200,2,ICMCTS,0,16,3,1,0,0,0,5
20260810_171200,2,ICMCTS,0,16,3,0,0,0,0,6
20260810_171200,2,ICMCTS,0,16,3,0,0,0,0,6
20260810_171200,2,ICMCTS,0,17,3,1,1,1.02,0,4
20260810_171200,2,ICMCTS,0,17,3,1,0,1.275,0,6
20260810_171200,2,ICMCTS,0,17,3,1,0,0,0,5
20260810_171200,2,ICMCTS,0,17,3,0,0,0,0,6
20260810_171200,2,ICMCTS,0,17,3,0,0,0,0,6
20260810_171200,2,ICMCTS,0,18,3,1,1,1.02,0,4
20260810_171200,2,ICMCTS,0,18,3,1,0,1.275,0,6
20260810_171200,2,ICMCTS,0,18,3,1,0,0,0,5
20260810_171200,2,ICMCTS,0,18,3,0,0,0,0,6
20260810_171200,2,ICMCTS,0,18,3,0,0,0,0,6
20260810_171200,2,ICMCTS,0,19,3,1,1,1.02,0,4
20260810_171200,2,ICMCTS,0,19,3,1,0,1.275,0,6
20260810_171200,2,ICMCTS,0,19,3,1,0,0,0,5
20260810_171200,2,ICMCTS,0,19,3,0,0,0,0,6
20260810_171200,2,ICMCTS,0,19,3,0,0,0,0,6
20260810_171200,2,ICMCTS,0,20,3,1,1,1.041,0,4
20260810_171200,2,ICMCTS,0,20,3,1,0,1.304,0,6
20260810_171200,2,ICMCTS,0,20,3,1,0,0,0,5
20260810_171200,2,ICMCTS,0,20,3,0,0,0,0,6
20260810_171200,2,ICMCTS,0,26,4,1,1,1.357,0,4
20260810_171200,2,ICMCTS,0,26,4,1,0,1.271,0,6
20260810_171200,2,ICMCTS,0,26,4,1,0,0,0,6
20260810_171200,2,ICMCTS,0,26,4,0,0,0,0,5
20260810_171200,3,ICMCTS,0,4,1,1,1,0.377,0,8
20260810_171200,3,ICMCTS,0,4,1,1,0,0,0,10
20260810_171200,3,ICMCTS,0,4,1,1,0,0,0,4
20260810_171200,3,ICMCTS,0,4,1,0,1,0.377,0,10
20260810_171200,3,ICMCTS,0,4,1,0,0,0,0,8
20260810_171200,3,ICMCTS,0,4,1,0,0,0,0,10
20260810_171200,3,ICMCTS,0,5,1,1,1,0.384,0,8
20260810_171200,3,ICMCTS,0,5,1,1,0,0,0,10
20260810_171200,3,ICMCTS,0,5,1,1,0,0,0,4
20260810_171200,3,ICMCTS,0,5,1,0,1,0.384,0,10
20260810_171200,3,ICMCTS,0,5,1,0,0,0,0,8
20260810_171200,3,ICMCTS,0,5,1,0,0,0,0,10
20260810_171200,3,ICMCTS,0,8,2,1,1,0.787,0,8
20260810_171200,3,ICMCTS,0,8,2,1,0,0,0,10
20260810_171200,3,ICMCTS,0,8,2,1,0,2.86,0,6
20260810_171200,3,ICMCTS,0,8,2,0,1,0.787,0,10
