session_id,match_index,agent_label,bayesian_on,cambio_caller,cambio_caller_turn,cambio_ai_score,cambio_player_score,cambio_caller_was_ahead,cambio_ai_believed_score,guard_believed_own_mean,guard_believed_opp_mean,guard_p_ahead
20260810_171200,1,ICMCTS,0,AI,3,9,25,1,9,,,
20260810_171200,2,ICMCTS,0,AI,4,7,22,1,7.889,,,
20260810_171200,3,ICMCTS,0,AI,3,13,19,1,8.889,,,
20260810_171200,4,ICMCTS,0,Player,6,13,18,0,,,,
20260810_171200,5,ICMCTS,0,AI,3,12,11,0,9.889,,,
20260810_171200,6,ICMCTS,0,Player,4,58,27,1,,,,
20260810_171200,7,ICMCTS,0,AI,4,7,19,1,6.889,,,
20260810_171200,8,ICMCTS,0,AI,6,1,13,1,3.889,,,
20260810_171200,9,ICMCTS,0,Player,7,13,12,1,,,,
20260810_171200,10,ICMCTS,0,Player,6,15,5,1,,,,
20260810_171200,11,ICMCTS,0,Player,6,15,2,1,,,,
