session_id,match_index,agent_label,bayesian_on,cambio_caller,cambio_caller_turn,cambio_ai_score,cambio_player_score,cambio_caller_was_ahead,cambio_ai_believed_score,guard_believed_own_mean,guard_believed_opp_mean,guard_p_ahead
20260816_115524,1,bayesian,1,AI,7,16,28,1,17.667,14.992,25.576,0.891
20260816_115524,2,bayesian,1,AI,3,13,23,1,13.889,11.547,16.157,0.645
20260816_115524,3,bayesian,1,AI,1,18,24,1,15.778,15.686,22.59,0.711
20260816_115524,4,bayesian,1,AI,3,10,36,1,13.778,13.217,30.069,0.943
20260816_115524,5,bayesian,1,AI,9,3,18,1,7.889,5.73,11.682,0.732
20260816_115524,6,bayesian,1,Player,3,24,7,1,,,,
20260816_115524,7,bayesian,1,AI,3,17,11,0,20.778,16.987,21.222,0.602
20260816_115524,8,bayesian,1,AI,2,17,7,0,17.778,16.176,21.352,0.645
20260816_115524,9,bayesian,1,AI,6,9,20,1,14.889,14.282,19.276,0.67
20260816_115524,10,bayesian,1,AI,1,13,37,1,13.778,14.039,23.35,0.805
20260816_115524,11,bayesian,1,Player,4,23,8,1,,,,
20260816_121339,1,bayesian,1,Player,1,30,7,1,,,,
20260816_121339,2,bayesian,1,Player,1,37,20,1,,,,
20260816_121339,3,bayesian,1,Player,1,35,23,1,,,,
