session_id,match_index,agent_label,bayesian_on,ply,ai_turn,is_opponent_slot,opp_knows,tilt_raw,tilt_eff,true_value
20260808_203504,1,ICMCTS,0,5,1,1,1,0.375,0,10
20260808_203504,1,ICMCTS,0,5,1,1,1,0.375,0,0
20260808_203504,1,ICMCTS,0,5,1,1,0,0,0,10
20260808_203504,1,ICMCTS,0,5,1,0,0,0,0,10
20260808_203504,1,ICMCTS,0,5,1,0,0,0,0,7
20260808_203504,1,ICMCTS,0,5,1,0,0,0,0,10
20260808_203504,1,ICMCTS,0,6,1,1,1,0.372,0,10
20260808_203504,1,ICMCTS,0,6,1,1,1,0.372,0,0
20260808_203504,1,ICMCTS,0,6,1,1,0,0,0,10
20260808_203504,1,ICMCTS,0,6,1,0,0,0,0,10
20260808_203504,1,ICMCTS,0,6,1,0,0,0,0,7
20260808_203504,1,ICMCTS,0,6,1,0,0,0,0,10
20260808_203504,1,ICMCTS,0,7,1,1,1,0.372,0,10
20260808_203504,1,ICMCTS,0,7,1,1,1,0.372,0,0
20260808_203504,1,ICMCTS,0,7,1,1,0,0,0,10
20260808_203504,1,ICMCTS,0,7,1,0,0,0,0,10
20260808_203504,1,ICMCTS,0,7,1,0,0,0,0,7
20260808_203504,1,ICMCTS,0,7,1,0,0,0,0,10
20260808_203504,1,ICMCTS,0,8,1,1,1,0.372,0,10
20260808_203504,1,ICMCTS,0,8,1,1,1,0.372,0,0
20260808_203504,1,ICMCTS,0,8,1,1,0,0,0,10
20260808_203504,1,ICMCTS,0,8,1,0,0,0,0,10
20260808_203504,1,ICMCTS,0,8,1,0,0,0,0,7
20260808_203504,1,ICMCTS,0,8,1,0,0,0,0,10
20260808_203504,1,ICMCTS,0,11,2,1,0,1.366,0,1
20260808_203504,1,ICMCTS,0,11,2,1,0,0,0,10
20260808_203504,1,ICMCTS,0,11,2,1,0,0,0,10
20260808_203504,1,ICMCTS,0,11,2,0,0,0,0,10
20260808_203504,1,ICMCTS,0,11,2,0,0,0,0,7
20260808_203504,1,ICMCTS,0,11,2,0,1,0.742,0,0
20260808_203504,1,ICMCTS,0,12,2,1,0,1.336,0,1
20260808_203504,1,ICMCTS,0,12,2,1,0,0,0,10
20260808_203504,1,ICMCTS,0,12,2,0,0,0,0,10
20260808_203504,1,ICMCTS,0,12,2,0,0,0,0,7
20260808_203504,1,ICMCTS,0,12,2,0,1,0.732,0,0
20260808_203504,1,ICMCTS,0,13,2,1,0,1.336,0,1
20260808_203504,1,ICMCTS,0,13,2,1,0,0,0,10
20260808_203504,1,ICMCTS,0,13,2,1,0,0,0,10
20260808_203504,1,ICMCTS,0,13,2,0,0,0,0,7
20260808_203504,1,ICMCTS,0,13,2,0,1,0.732,0,0
20260808_203504,1,ICMCTS,0,14,2,1,0,1.344,0,1
20260808_203504,1,ICMCTS,0,14,2,1,0,0,0,10
20260808_203504,1,ICMCTS,0,14,2,1,0,0,0,10
20260808_203504,1,ICMCTS,0,14,2,0,0,0,0,7
20260808_203504,1,ICMCTS,0,14,2,0,1,0.738,0,0
20260808_203504,1,ICMCTS,0,15,2,1,0,1.344,0,1
20260808_203504,1,ICMCTS,0,15,2,1,0,0,0,10
20260808_203504,1,ICMCTS,0,15,2,1,0,0,0,10
20260808_203504,1,ICMCTS,0,15,2,0,0,0,0,7
20260808_203504,1,ICMCTS,0,15,2,0,1,0.738,0,0
20260808_203504,1,ICMCTS,0,16,2,1,0,1.344,0,1
20260808_203504,1,ICMCTS,0,16,2,1,0,0,0,10
20260808_203504,1,ICMCTS,0,16,2,1,0,0,0,10
20260808_203504,1,ICMCTS,0,16,2,0,0,0,0,7
20260808_203504,1,ICMCTS,0,16,2,0,1,0.738,0,0
20260808_203504,1,ICMCTS,0,19,3,1,0,1.352,0,1
20260808_203504,1,ICMCTS,0,19,3,1,0,0,0,10
20260808_203504,1,ICMCTS,0,19,3,1,0,0,0,10
20260808_203504,1,ICMCTS,0,19,3,0,0,0,0,7
20260808_203504,1,ICMCTS,0,19,3,0,1,1.113,0,0
20260808_203504,1,ICMCTS,0,20,3,1,0,1.373,0,1
20260808_203504,1,ICMCTS,0,20,3,1,0,0,0,10
20260808_203504,1,ICMCTS,0,20,3,1,0,0,0,10
20260808_203504,1,ICMCTS,0,20,3,0,0,0,0,7
20260808_203504,1,ICMCTS,0,20,3,0,1,1.131,0,0
20260808_203504,1,ICMCTS,0,25,4,1,0,1.36,0,1
20260808_203504,1,ICMCTS,0,25,4,1,0,0,0,10
20260808_203504,1,ICMCTS,0,25,4,0,0,0,0,10
20260808_203504,1,ICMCTS,0,25,4,0,1,1.492,0,0
20260808_203504,1,ICMCTS,0,26,4,1,0,1.32,0,1
20260808_203504,1,ICMCTS,0,26,4,0,0,0,0,10
20260808_203504,1,ICMCTS,0,26,4,0,1,1.46,0,0
20260808_203504,1,ICMCTS,0,27,4,1,0,1.32,0,1
20260808_203504,1,ICMCTS,0,27,4,1,0,0,0,10
20260808_203504,1,ICMCTS,0,27,4,0,1,1.46,0,0
20260808_203504,2,ICMCTS,0,2,1,1,1,0.396,0,2
20260808_203504,2,ICMCTS,0,2,1,1,1,0.396,0,9
20260808_203504,2,ICMCTS,0,2,1,1,0,0,0,2
20260808_203504,2,ICMCTS,0,2,1,1,0,1.926,0,10
20260808_203504,2,ICMCTS,0,2,1,0,0,0,0,0
20260808_203504,2,ICMCTS,0,2,1,0,0,0,0,1
20260808_203504,2,ICMCTS,0,3,1,1,1,0.396,0,2
