session_id,match_index,agent_label,bayesian_on,completed,winner,ai_score,player_score,ai_turns,ai_swaps,ai_discards,ai_swap_value_delta_avg,ai_unknown_swaps,ai_hidden_own_avg,ai_match_attempts,ai_match_success,ai_match_fail,ai_matches_on_own,ai_matches_on_opponent,ai_penalties,ai_power_cards_drawn,ai_powers_played,ai_power_look_own,ai_power_look_opp,ai_power_blind_swap,ai_power_look_swap,ai_decision_ms_avg
20260808_203504,1,ICMCTS,0,1,AI,10,17,4,1,2,-4,1,2.333,2,2,0,0,2,0,2,2,1,0,1,0,86.846
20260808_203504,2,ICMCTS,0,1,AI,-1,26,9,4,4,2.5,2,1.771,6,4,2,0,4,2,6,4,0,3,1,0,82.889
20260808_203504,3,ICMCTS,0,1,AI,9,38,3,2,0,-3,0,1.5,1,1,0,1,0,0,1,0,0,0,0,0,78.8
20260808_203504,4,ICMCTS,0,1,AI,11,21,2,1,0,4,0,2.2,1,1,0,1,0,0,1,0,0,0,0,0,67.25
20260808_203504,5,ICMCTS,0,1,AI,9,40,8,5,3,1.4,0,2.478,5,3,2,2,1,2,6,1,0,0,1,0,84.316
20260808_203504,6,ICMCTS,0,1,Player,11,-1,5,1,3,-5,1,1.5,1,1,0,1,0,0,3,3,1,2,0,0,76.857
20260808_203504,7,ICMCTS,0,1,AI,1,21,5,3,1,-1,2,1.933,2,2,0,1,1,0,2,1,0,1,0,0,75.583
20260808_203504,8,ICMCTS,0,0,None,17,11,14,3,11,-2.667,1,2.1,2,1,1,0,1,1,9,9,4,2,3,0,85.357
20260808_203504,9,ICMCTS,0,1,AI,6,26,2,1,0,-6,0,1,2,2,0,1,1,0,0,0,0,0,0,0,76.8
20260808_203504,10,ICMCTS,0,1,AI,13,21,3,3,0,-1.333,2,1,1,1,0,0,1,0,1,0,0,0,0,0,77
20260808_203504,11,ICMCTS,0,1,AI,24,48,6,5,1,-2,3,1.833,0,0,0,0,0,0,4,0,0,0,0,0,79.667
20260808_203504,12,ICMCTS,0,1,AI,7,15,3,2,0,-6,1,1.571,1,1,0,1,0,0,0,0,0,0,0,0,81.714
