session_id,match_index,agent_label,bayesian_on,completed,winner,ai_score,player_score,ai_turns,ai_swaps,ai_discards,ai_swap_value_delta_avg,ai_unknown_swaps,ai_hidden_own_avg,ai_match_attempts,ai_match_success,ai_match_fail,ai_matches_on_own,ai_matches_on_opponent,ai_penalties,ai_power_cards_drawn,ai_powers_played,ai_power_look_own,ai_power_look_opp,ai_power_blind_swap,ai_power_look_swap,ai_decision_ms_avg
20260808_205654,1,bayesian,1,1,AI,0,9,4,2,1,-2,2,0.857,3,3,0,1,2,0,2,1,0,0,0,1,80.615
20260808_205654,2,bayesian,1,1,AI,15,27,1,0,0,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,74
20260808_205654,3,bayesian,1,1,AI,10,30,1,0,0,,0,2.667,1,1,0,0,1,0,0,0,0,0,0,0,75.333
20260808_205654,4,bayesian,1,1,AI,5,7,2,1,0,-4,1,1.75,1,1,0,1,0,0,0,0,0,0,0,0,83.25
20260808_205654,5,bayesian,1,1,Player,28,9,2,1,1,-9,0,2,0,0,0,0,0,0,1,1,1,0,0,0,70
20260808_205654,6,bayesian,1,1,AI,7,9,2,1,0,-5,1,1.857,2,2,0,0,2,0,0,0,0,0,0,0,78.857
20260808_205654,7,bayesian,1,1,AI,12,13,3,1,1,-7,0,1.778,1,1,0,1,0,0,1,1,0,1,0,0,75.857
20260808_205654,8,bayesian,1,1,AI,18,24,1,0,0,,0,2,1,1,0,1,0,0,0,0,0,0,0,0,80
20260808_205654,9,bayesian,1,1,AI,9,14,3,1,1,-9,1,2.333,1,1,0,1,0,0,1,0,0,0,0,0,81.6
20260808_205654,10,bayesian,1,1,AI,19,23,3,1,1,-2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,74.833
20260808_205654,11,bayesian,1,1,AI,19,20,4,3,1,-3.333,1,2.583,2,1,1,1,0,1,2,1,0,1,0,0,79.222
