session_id,match_index,agent_label,bayesian_on,completed,winner,ai_score,player_score,ai_turns,ai_swaps,ai_discards,ai_swap_value_delta_avg,ai_unknown_swaps,ai_hidden_own_avg,ai_match_attempts,ai_match_success,ai_match_fail,ai_matches_on_own,ai_matches_on_opponent,ai_penalties,ai_power_cards_drawn,ai_powers_played,ai_power_look_own,ai_power_look_opp,ai_power_blind_swap,ai_power_look_swap,ai_decision_ms_avg
20260810_191119,1,ICMCTS,0,1,Player,17,16,8,3,5,-1.667,2,3.111,0,0,0,0,0,0,5,5,0,1,4,0,58.231
20260810_191119,2,ICMCTS,0,1,Player,7,2,11,5,6,-4.4,1,1.788,1,1,0,1,0,0,5,4,2,1,1,0,65.931
20260810_191119,3,ICMCTS,0,1,Player,6,4,5,3,1,-7,0,1.583,1,1,0,1,0,0,1,1,1,0,0,0,59.909
20260810_191119,4,ICMCTS,0,1,Player,25,6,5,4,1,-3,2,1.875,5,2,3,2,0,3,1,1,1,0,0,0,65.091
20260810_191119,5,ICMCTS,0,1,AI,13,27,7,3,3,-6.333,2,0.579,2,1,1,1,0,1,2,2,1,0,1,0,65.875
20260810_191119,6,ICMCTS,0,1,AI,4,26,5,3,1,-7.667,1,1.455,0,0,0,0,0,0,1,1,1,0,0,0,64.9
20260810_191119,7,ICMCTS,0,1,AI,14,15,7,4,2,-4.75,1,2.158,1,1,0,0,1,0,3,2,0,2,0,0,62.824
20260810_191119,8,ICMCTS,0,1,AI,6,32,6,2,3,0.5,2,1.211,1,1,0,1,0,0,3,3,0,1,1,1,62.824
20260810_191119,9,ICMCTS,0,1,Player,25,24,4,2,2,-2.5,1,2.813,3,0,3,0,0,3,3,2,1,0,1,0,55.417
20260810_191119,10,ICMCTS,0,1,Player,29,5,4,4,0,-2.5,0,2.9,2,0,2,0,0,2,1,0,0,0,0,0,59.625
20260810_191119,11,ICMCTS,0,1,AI,9,11,4,2,2,-1,2,2.083,2,2,0,2,0,0,3,2,1,0,1,0,54.545
