session_id,match_index,agent_label,bayesian_on,ply,ai_turn,is_opponent_slot,opp_knows,tilt_raw,tilt_eff,true_value
20260806_151958,1,ICMCTS,0,5,1,1,1,0.37,0,5
20260806_151958,1,ICMCTS,0,5,1,1,1,0.37,0,10
20260806_151958,1,ICMCTS,0,5,1,1,0,0,0,1
20260806_151958,1,ICMCTS,0,5,1,0,0,0,0,2
20260806_151958,1,ICMCTS,0,5,1,0,0,0,0,4
20260806_151958,1,ICMCTS,0,5,1,0,0,0,0,10
20260806_151958,1,ICMCTS,0,6,1,1,1,0.366,0,5
20260806_151958,1,ICMCTS,0,6,1,1,1,0.366,0,10
20260806_151958,1,ICMCTS,0,6,1,1,0,0,0,1
20260806_151958,1,ICMCTS,0,6,1,0,0,0,0,2
20260806_151958,1,ICMCTS,0,6,1,0,0,0,0,4
20260806_151958,1,ICMCTS,0,6,1,0,0,0,0,10
20260806_151958,1,ICMCTS,0,7,1,1,1,0.366,0,5
20260806_151958,1,ICMCTS,0,7,1,1,1,0.366,0,10
20260806_151958,1,ICMCTS,0,7,1,1,0,0,0,1
20260806_151958,1,ICMCTS,0,7,1,0,0,0,0,2
20260806_151958,1,ICMCTS,0,7,1,0,0,0,0,4
20260806_151958,1,ICMCTS,0,7,1,0,0,0,0,10
20260806_151958,1,ICMCTS,0,8,1,1,1,0.373,0,10
20260806_151958,1,ICMCTS,0,8,1,1,0,0,0,1
20260806_151958,1,ICMCTS,0,8,1,0,0,0,0,2
20260806_151958,1,ICMCTS,0,8,1,0,0,0,0,4
20260806_151958,1,ICMCTS,0,8,1,0,0,0,0,10
20260806_151958,1,ICMCTS,0,12,2,1,1,1.017,0,10
20260806_151958,1,ICMCTS,0,12,2,1,0,0.249,0,10
20260806_151958,1,ICMCTS,0,12,2,0,0,0,0,2
20260806_151958,1,ICMCTS,0,12,2,0,0,0,0,4
20260806_151958,1,ICMCTS,0,12,2,0,0,0,0,10
20260806_151958,1,ICMCTS,0,13,2,1,1,1.017,0,10
20260806_151958,1,ICMCTS,0,13,2,1,0,0.249,0,10
20260806_151958,1,ICMCTS,0,13,2,0,0,0,0,2
20260806_151958,1,ICMCTS,0,13,2,0,0,0,0,4
20260806_151958,1,ICMCTS,0,13,2,0,0,0,0,10
20260806_151958,1,ICMCTS,0,14,2,1,0,0.249,0,4
20260806_151958,1,ICMCTS,0,14,2,1,1,1.017,0,10
20260806_151958,1,ICMCTS,0,14,2,1,0,0.249,0,10
20260806_151958,1,ICMCTS,0,14,2,0,0,0,0,2
20260806_151958,1,ICMCTS,0,14,2,0,0,0,0,10
20260806_151958,1,ICMCTS,0,15,2,1,0,0.254,0,4
20260806_151958,1,ICMCTS,0,15,2,1,1,1.037,0,10
20260806_151958,1,ICMCTS,0,15,2,1,0,0.254,0,10
20260806_151958,1,ICMCTS,0,15,2,0,0,0,0,2
20260806_151958,1,ICMCTS,0,15,2,0,0,0,0,10
20260806_151958,1,ICMCTS,0,21,3,1,0,0.257,0,4
20260806_151958,1,ICMCTS,0,21,3,1,1,1.44,0,10
20260806_151958,1,ICMCTS,0,21,3,1,0,0.257,0,10
20260806_151958,1,ICMCTS,0,21,3,1,0,0.257,0,2
20260806_151958,1,ICMCTS,0,21,3,0,0,0,0,2
20260806_151958,1,ICMCTS,0,21,3,0,0,0,0,10
20260806_151958,1,ICMCTS,0,22,3,1,0,0.255,0,4
20260806_151958,1,ICMCTS,0,22,3,1,1,1.418,0,10
20260806_151958,1,ICMCTS,0,22,3,1,0,0.255,0,10
20260806_151958,1,ICMCTS,0,22,3,1,0,0.255,0,2
20260806_151958,1,ICMCTS,0,22,3,0,0,0,0,2
20260806_151958,1,ICMCTS,0,22,3,0,0,0,0,10
20260806_151958,1,ICMCTS,0,23,3,1,0,0.255,0,4
20260806_151958,1,ICMCTS,0,23,3,1,1,1.418,0,10
20260806_151958,1,ICMCTS,0,23,3,1,0,0.255,0,10
20260806_151958,1,ICMCTS,0,23,3,1,0,0.255,0,2
20260806_151958,1,ICMCTS,0,23,3,0,0,0,0,2
20260806_151958,1,ICMCTS,0,23,3,0,0,0,0,10
20260806_151958,1,ICMCTS,0,24,3,1,0,0.255,0,4
20260806_151958,1,ICMCTS,0,24,3,1,1,1.418,0,10
20260806_151958,1,ICMCTS,0,24,3,1,0,0.255,0,10
20260806_151958,1,ICMCTS,0,24,3,1,0,0.255,0,2
20260806_151958,1,ICMCTS,0,24,3,0,0,0,0,2
20260806_151958,1,ICMCTS,0,24,3,0,0,0,0,10
20260806_151958,1,ICMCTS,0,28,4,1,0,0.251,0,4
20260806_151958,1,ICMCTS,0,28,4,1,1,1.762,0,10
20260806_151958,1,ICMCTS,0,28,4,1,0,1.612,0,-1
20260806_151958,1,ICMCTS,0,28,4,1,0,0.251,0,10
20260806_151958,1,ICMCTS,0,28,4,1,0,0.251,0,2
20260806_151958,1,ICMCTS,0,28,4,1,0,0.251,0,2
20260806_151958,1,ICMCTS,0,28,4,0,0,0,0,2
20260806_151958,1,ICMCTS,0,29,4,1,0,0.254,0,4
20260806_151958,1,ICMCTS,0,29,4,1,1,1.798,0,10
20260806_151958,1,ICMCTS,0,29,4,1,0,1.642,0,-1
20260806_151958,1,ICMCTS,0,29,4,1,0,0.254,0,10
20260806_151958,1,ICMCTS,0,29,4,1,0,0.254,0,2
20260806_151958,1,ICMCTS,0,29,4,1,0,0.254,0,2
20260806_151958,1,ICMCTS,0,29,4,0,0,0,0,2
20260806_151958,1,ICMCTS,0,35,5,1,1,2.152,0,10
20260806_151958,1,ICMCTS,0,35,5,1,0,1.617,0,-1
20260806_151958,1,ICMCTS,0,35,5,1,0,0.251,0,10
20260806_151958,1,ICMCTS,0,35,5,1,0,0.251,0,2
20260806_151958,1,ICMCTS,0,35,5,1,0,0.251,0,2
20260806_151958,1,ICMCTS,0,35,5,0,0,0,0,4
20260806_151958,1,ICMCTS,0,36,5,1,0,1.573,0,-1
20260806_151958,1,ICMCTS,0,36,5,1,0,0.247,0,10
