session_id,match_index,agent_label,bayesian_on,cambio_caller,cambio_caller_turn,cambio_ai_score,cambio_player_score,cambio_caller_was_ahead,cambio_ai_believed_score,guard_believed_own_mean,guard_believed_opp_mean,guard_p_ahead
20260806_151958,1,ICMCTS,0,AI,5,7,20,1,7,,,
20260806_151958,2,ICMCTS,0,AI,1,5,25,1,9.889,,,
20260806_151958,3,ICMCTS,0,Player,2,28,34,0,,,,
20260806_151958,4,ICMCTS,0,Player,3,8,61,0,,,,
20260806_151958,5,ICMCTS,0,AI,4,4,41,1,9.889,,,
20260806_151958,6,ICMCTS,0,AI,3,3,44,1,8.889,,,
20260806_151958,7,ICMCTS,0,Player,3,31,36,0,,,,
20260806_151958,8,ICMCTS,0,AI,3,8,30,1,9.889,,,
20260806_151958,9,ICMCTS,0,AI,4,4,41,1,8.889,,,
20260806_151958,10,ICMCTS,0,AI,5,6,52,1,6,,,
20260806_151958,11,ICMCTS,0,Player,2,15,34,0,,,,
