session_id,match_index,agent_label,bayesian_on,completed,winner,ai_score,player_score,ai_turns,ai_swaps,ai_discards,ai_swap_value_delta_avg,ai_unknown_swaps,ai_hidden_own_avg,ai_match_attempts,ai_match_success,ai_match_fail,ai_matches_on_own,ai_matches_on_opponent,ai_penalties,ai_power_cards_drawn,ai_powers_played,ai_power_look_own,ai_power_look_opp,ai_power_blind_swap,ai_power_look_swap,ai_decision_ms_avg
20260806_151958,1,ICMCTS,0,1,AI,7,20,5,2,2,-1.5,1,2,2,2,0,0,2,0,2,2,0,1,1,0,83.267
20260806_151958,2,ICMCTS,0,1,AI,5,32,1,0,0,,0,1.5,1,1,0,1,0,0,0,0,0,0,0,0,81.5
20260806_151958,3,ICMCTS,0,1,AI,28,34,2,1,0,-2,0,2,1,1,0,1,0,0,1,0,0,0,0,0,76
20260806_151958,4,ICMCTS,0,1,AI,15,61,3,1,2,7,0,1.308,1,1,0,0,1,0,3,2,0,0,1,1,85.909
20260806_151958,5,ICMCTS,0,1,AI,4,42,4,1,2,-4,1,1.154,2,2,0,0,2,0,2,1,0,1,0,0,83.818
20260806_151958,6,ICMCTS,0,1,AI,4,43,3,1,1,-2,1,0.778,2,2,0,1,1,0,2,1,0,0,1,0,88.375
20260806_151958,7,ICMCTS,0,1,AI,31,36,3,2,0,0.5,2,1.571,2,1,1,1,0,1,2,0,0,0,0,0,77.667
20260806_151958,8,ICMCTS,0,1,AI,8,40,3,1,1,-4,0,1.125,2,2,0,2,0,0,1,1,0,1,0,0,101
20260806_151958,9,ICMCTS,0,1,AI,4,41,4,2,1,-3.5,1,1.769,1,1,0,0,1,0,2,1,0,0,1,0,88.462
20260806_151958,10,ICMCTS,0,1,AI,6,52,5,4,0,-4.5,2,1.357,3,2,1,0,2,1,0,0,0,0,0,0,89.25
20260806_151958,11,ICMCTS,0,1,AI,15,34,2,0,1,,0,2.143,1,1,0,1,0,0,2,1,0,1,0,0,75
