session_id,match_index,agent_label,bayesian_on,ply,ai_turn,is_opponent_slot,opp_knows,tilt_raw,tilt_eff,true_value
20260806_154435,1,bayesian,1,4,1,1,1,0.387,0.387,10
20260806_154435,1,bayesian,1,4,1,1,1,0.387,0.387,3
20260806_154435,1,bayesian,1,4,1,1,0,0,0,10
20260806_154435,1,bayesian,1,4,1,1,0,0,0,10
20260806_154435,1,bayesian,1,4,1,0,0,0,0,9
20260806_154435,1,bayesian,1,4,1,0,0,0,0,5
20260806_154435,1,bayesian,1,6,1,1,1,0.387,0.387,10
20260806_154435,1,bayesian,1,6,1,1,1,0.387,0.387,3
20260806_154435,1,bayesian,1,6,1,1,0,0,0,10
20260806_154435,1,bayesian,1,6,1,1,0,0,0,7
20260806_154435,1,bayesian,1,6,1,0,0,0,0,9
20260806_154435,1,bayesian,1,6,1,0,0,0,0,5
20260806_154435,1,bayesian,1,11,2,1,1,0.771,0.771,10
20260806_154435,1,bayesian,1,11,2,1,1,0.771,0.771,3
20260806_154435,1,bayesian,1,11,2,1,0,0,0,10
20260806_154435,1,bayesian,1,11,2,1,0,0,0,7
20260806_154435,1,bayesian,1,11,2,0,0,0,0,9
20260806_154435,1,bayesian,1,11,2,0,0,0,0,5
20260806_154435,1,bayesian,1,12,2,1,1,0.76,0.76,3
20260806_154435,1,bayesian,1,12,2,1,0,0,0,10
20260806_154435,1,bayesian,1,12,2,1,0,0,0,7
20260806_154435,1,bayesian,1,12,2,0,0,0,0,9
20260806_154435,1,bayesian,1,12,2,0,0,0,0,5
20260806_154435,1,bayesian,1,13,2,1,1,0.76,0.76,3
20260806_154435,1,bayesian,1,13,2,1,0,0,0,10
20260806_154435,1,bayesian,1,13,2,1,0,0,0,7
20260806_154435,1,bayesian,1,13,2,0,0,0,0,9
20260806_154435,1,bayesian,1,13,2,0,0,0,0,5
20260806_154435,2,bayesian,1,4,1,1,1,0.366,0.366,4
20260806_154435,2,bayesian,1,4,1,1,1,0.366,0.366,2
20260806_154435,2,bayesian,1,4,1,1,0,0,0,2
20260806_154435,2,bayesian,1,4,1,0,0,0,0,3
20260806_154435,2,bayesian,1,4,1,0,0,0,0,7
20260806_154435,2,bayesian,1,4,1,0,0,0,0,8
20260806_154435,2,bayesian,1,5,1,1,1,0.366,0.366,4
20260806_154435,2,bayesian,1,5,1,1,1,0.366,0.366,2
20260806_154435,2,bayesian,1,5,1,1,0,0,0,2
20260806_154435,2,bayesian,1,5,1,0,0,0,0,3
20260806_154435,2,bayesian,1,5,1,0,0,0,0,7
20260806_154435,2,bayesian,1,5,1,0,0,0,0,8
20260806_154435,2,bayesian,1,6,1,1,1,0.366,0.366,4
20260806_154435,2,bayesian,1,6,1,1,1,0.366,0.366,2
20260806_154435,2,bayesian,1,6,1,1,0,0,0,2
20260806_154435,2,bayesian,1,6,1,0,0,0,0,3
20260806_154435,2,bayesian,1,6,1,0,0,0,0,7
20260806_154435,2,bayesian,1,6,1,0,0,0,0,8
20260806_154435,2,bayesian,1,7,1,1,1,0.366,0.366,4
20260806_154435,2,bayesian,1,7,1,1,1,0.366,0.366,2
20260806_154435,2,bayesian,1,7,1,1,0,0,0,2
20260806_154435,2,bayesian,1,7,1,0,0,0,0,3
20260806_154435,2,bayesian,1,7,1,0,0,0,0,7
20260806_154435,2,bayesian,1,7,1,0,0,0,0,8
20260806_154435,2,bayesian,1,8,1,1,1,0.366,0.366,4
20260806_154435,2,bayesian,1,8,1,1,1,0.366,0.366,2
20260806_154435,2,bayesian,1,8,1,1,0,0,0,2
20260806_154435,2,bayesian,1,8,1,0,0,0,0,3
20260806_154435,2,bayesian,1,8,1,0,0,0,0,7
20260806_154435,2,bayesian,1,8,1,0,0,0,0,8
20260806_154435,2,bayesian,1,9,1,1,1,0.372,0.372,2
20260806_154435,2,bayesian,1,9,1,1,0,0,0,2
20260806_154435,2,bayesian,1,9,1,0,0,0,0,3
20260806_154435,2,bayesian,1,9,1,0,0,0,0,7
20260806_154435,2,bayesian,1,9,1,0,0,0,0,8
20260806_154435,2,bayesian,1,13,2,1,1,1.018,1.018,2
20260806_154435,2,bayesian,1,13,2,1,0,0.252,0.252,2
20260806_154435,2,bayesian,1,13,2,1,0,0.252,0.252,8
20260806_154435,2,bayesian,1,13,2,0,0,0,0,3
20260806_154435,2,bayesian,1,13,2,0,0,0,0,7
20260806_154435,2,bayesian,1,13,2,0,0,0,0,8
20260806_154435,3,bayesian,1,4,1,1,1,0.374,0.374,10
20260806_154435,3,bayesian,1,4,1,1,1,0.374,0.374,6
20260806_154435,3,bayesian,1,4,1,1,0,0,0,7
20260806_154435,3,bayesian,1,4,1,0,0,0,0,2
20260806_154435,3,bayesian,1,4,1,0,0,0,0,5
20260806_154435,3,bayesian,1,4,1,0,0,0,0,-1
20260806_154435,3,bayesian,1,6,1,1,1,0.374,0.374,10
20260806_154435,3,bayesian,1,6,1,1,1,0.374,0.374,6
20260806_154435,3,bayesian,1,6,1,1,0,0,0,7
20260806_154435,3,bayesian,1,6,1,0,0,0,0,2
20260806_154435,3,bayesian,1,6,1,0,0,0,0,5
20260806_154435,3,bayesian,1,6,1,0,0,0,0,-1
20260806_154435,3,bayesian,1,8,1,1,1,0.364,0.364,6
20260806_154435,3,bayesian,1,8,1,1,0,0,0,7
20260806_154435,3,bayesian,1,8,1,1,0,0,0,5
20260806_154435,3,bayesian,1,8,1,0,0,0,0,2
20260806_154435,3,bayesian,1,8,1,0,0,0,0,5
20260806_154435,3,bayesian,1,8,1,0,0,0,0,-1
20260806_154435,3,bayesian,1,12,2,1,1,2.104,2.104,6
20260806_154435,3,bayesian,1,12,2,1,0,1.421,1.421,7
20260806_154435,3,bayesian,1,12,2,1,0,1.421,1.421,5
20260806_154435,3,bayesian,1,12,2,1,0,1.421,1.421,3
20260806_154435,3,bayesian,1,12,2,0,0,0,0,2
20260806_154435,3,bayesian,1,12,2,0,0,0,0,5
20260806_154435,3,bayesian,1,12,2,0,0,0,0,-1
20260806_154435,4,bayesian,1,2,1,1,1,0.382,0.382,9
20260806_154435,4,bayesian,1,2,1,1,1,0.382,0.382,0
