session_id,match_index,agent_label,bayesian_on,ply,ai_turn,is_opponent_slot,opp_knows,tilt_raw,tilt_eff,true_value
20260806_141556,1,ICMCTS,0,2,1,1,1,0.381,0,10
20260806_141556,1,ICMCTS,0,2,1,1,1,0.381,0,-1
20260806_141556,1,ICMCTS,0,2,1,1,0,2.933,0,3
20260806_141556,1,ICMCTS,0,2,1,1,0,0,0,7
20260806_141556,1,ICMCTS,0,2,1,0,0,0,0,3
20260806_141556,1,ICMCTS,0,2,1,0,0,0,0,10
20260806_141556,1,ICMCTS,0,3,1,1,1,0.386,0,10
20260806_141556,1,ICMCTS,0,3,1,1,1,0.386,0,-1
20260806_141556,1,ICMCTS,0,3,1,1,0,2.998,0,3
20260806_141556,1,ICMCTS,0,3,1,1,0,0,0,7
20260806_141556,1,ICMCTS,0,3,1,0,0,0,0,3
20260806_141556,1,ICMCTS,0,3,1,0,0,0,0,10
20260806_141556,1,ICMCTS,0,7,2,1,1,0.787,0,-1
20260806_141556,1,ICMCTS,0,7,2,1,0,2.923,0,3
20260806_141556,1,ICMCTS,0,7,2,1,0,2.149,0,10
20260806_141556,1,ICMCTS,0,7,2,0,0,0,0,3
20260806_141556,1,ICMCTS,0,8,2,1,1,0.788,0,-1
20260806_141556,1,ICMCTS,0,8,2,1,0,2.966,0,3
20260806_141556,1,ICMCTS,0,8,2,1,0,2.168,0,10
20260806_141556,1,ICMCTS,0,8,2,0,0,0,0,3
20260806_141556,1,ICMCTS,0,13,3,1,1,1.182,0,-1
20260806_141556,1,ICMCTS,0,13,3,1,0,2.91,0,3
20260806_141556,1,ICMCTS,0,13,3,1,0,2.127,0,10
20260806_141556,1,ICMCTS,0,13,3,0,0,0,0,3
20260806_141556,1,ICMCTS,0,14,3,1,1,1.167,0,-1
20260806_141556,1,ICMCTS,0,14,3,1,0,2.85,0,3
20260806_141556,1,ICMCTS,0,14,3,1,0,2.083,0,10
20260806_141556,1,ICMCTS,0,14,3,0,0,0,0,3
20260806_141556,1,ICMCTS,0,15,3,1,1,1.167,0,-1
20260806_141556,1,ICMCTS,0,15,3,1,0,2.85,0,3
20260806_141556,1,ICMCTS,0,15,3,1,0,2.083,0,10
20260806_141556,1,ICMCTS,0,15,3,0,0,0,0,3
20260806_141556,1,ICMCTS,0,16,3,1,1,1.167,0,-1
20260806_141556,1,ICMCTS,0,16,3,1,0,2.85,0,3
20260806_141556,1,ICMCTS,0,16,3,1,0,2.083,0,10
20260806_141556,1,ICMCTS,0,16,3,0,0,0,0,3
20260806_141556,1,ICMCTS,0,19,4,1,0,0,0,3
