session_id,match_index,agent_label,bayesian_on,completed,winner,ai_score,player_score,ai_turns,ai_swaps,ai_discards,ai_swap_value_delta_avg,ai_unknown_swaps,ai_hidden_own_avg,ai_match_attempts,ai_match_success,ai_match_fail,ai_matches_on_own,ai_matches_on_opponent,ai_penalties,ai_power_cards_drawn,ai_powers_played,ai_power_look_own,ai_power_look_opp,ai_power_blind_swap,ai_power_look_swap,ai_decision_ms_avg
20260806_141556,1,ICMCTS,0,1,AI,4,5,9,2,7,-4,1,1.077,0,0,0,0,0,0,4,4,1,1,2,0,84.75
20260806_141556,2,ICMCTS,0,1,AI,9,13,6,4,2,-2.25,1,0.941,1,1,0,1,0,0,4,2,1,0,1,0,82.063
20260806_141556,3,ICMCTS,0,1,Player,9,2,6,4,2,-0.25,1,2.455,4,2,2,2,0,2,4,2,0,2,0,0,79.929
20260806_141556,4,ICMCTS,0,1,Player,6,0,7,3,4,-3.333,1,1.76,2,1,1,1,0,1,4,3,1,0,2,0,85.227
20260806_141556,5,ICMCTS,0,1,AI,7,14,12,2,9,-0.5,1,2.205,4,3,1,2,1,1,7,5,2,1,2,0,84.606
20260806_141556,6,ICMCTS,0,1,AI,1,24,3,1,1,-8,0,1.4,2,2,0,1,1,0,1,1,0,0,1,0,86.4
20260806_141556,7,ICMCTS,0,1,AI,7,11,8,1,7,-5,0,3.087,2,1,1,1,0,1,3,3,0,1,2,0,82.571
20260806_141556,8,ICMCTS,0,1,AI,11,16,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,67
20260806_141556,9,ICMCTS,0,1,AI,1,16,5,2,2,1.5,2,2,2,2,0,2,0,0,2,1,0,0,1,0,80.5
20260806_141556,10,ICMCTS,0,1,AI,2,38,5,3,1,1.333,0,1.438,2,2,0,1,1,0,3,1,0,0,0,1,82.929
20260806_141556,11,ICMCTS,0,1,AI,6,11,5,2,2,1.5,2,1.5,1,1,0,0,1,0,3,2,0,0,2,0,83.294
