session_id,match_index,agent_label,bayesian_on,completed,winner,ai_score,player_score,ai_turns,ai_swaps,ai_discards,ai_swap_value_delta_avg,ai_unknown_swaps,ai_hidden_own_avg,ai_match_attempts,ai_match_success,ai_match_fail,ai_matches_on_own,ai_matches_on_opponent,ai_penalties,ai_power_cards_drawn,ai_powers_played,ai_power_look_own,ai_power_look_opp,ai_power_blind_swap,ai_power_look_swap,ai_decision_ms_avg
20260806_140545,1,bayesian,1,1,Player,14,1,7,5,2,-1.6,1,1.273,1,1,0,0,1,0,4,2,0,2,0,0,80.667
20260806_140545,2,bayesian,1,1,AI,14,25,4,2,1,-3,0,2,0,0,0,0,0,0,2,1,0,0,1,0,86.2
20260806_140545,3,bayesian,1,1,AI,9,15,5,2,2,0,0,1.733,2,2,0,2,0,0,4,2,0,1,1,0,82.385
20260806_140545,4,bayesian,1,1,Player,9,4,3,2,1,-4.5,1,1.333,1,1,0,1,0,0,2,1,0,1,0,0,78.875
20260806_140545,5,bayesian,1,1,AI,6,26,2,0,1,,0,2,1,1,0,1,0,0,1,1,0,1,0,0,81
20260806_140545,6,bayesian,1,1,Player,11,5,4,1,2,-7,1,2.154,1,0,1,0,0,1,2,2,0,2,0,0,81.6
20260806_140545,7,bayesian,1,1,AI,15,33,3,1,1,-3,0,2,0,0,0,0,0,0,1,1,0,0,1,0,84.571
20260806_140545,8,bayesian,1,1,AI,15,20,1,0,0,,0,2,1,1,0,0,1,0,0,0,0,0,0,0,78.333
20260806_140545,9,bayesian,1,1,AI,-2,7,3,2,0,-5,1,1.714,3,2,1,2,0,1,1,0,0,0,0,0,87.833
20260806_140545,10,bayesian,1,1,AI,9,13,2,1,0,-3,1,2,1,1,0,0,1,0,0,0,0,0,0,0,78.4
20260806_140545,11,bayesian,1,1,AI,6,15,5,1,3,-8,0,1.588,2,2,0,1,1,0,2,2,0,0,1,1,87.133
