session_id,match_index,agent_label,bayesian_on,ply,ai_turn,is_opponent_slot,opp_knows,tilt_raw,tilt_eff,true_value
20260815_091044,1,bayesian,1,4,1,1,1,0.358,0.358,10
20260815_091044,1,bayesian,1,4,1,1,0,0,0,3
20260815_091044,1,bayesian,1,4,1,1,0,0,0,4
20260815_091044,1,bayesian,1,4,1,0,1,0.358,0.358,10
20260815_091044,1,bayesian,1,4,1,0,0,0,0,-1
20260815_091044,1,bayesian,1,4,1,0,0,0,0,0
20260815_091044,1,bayesian,1,5,1,1,1,0.354,0.354,10
20260815_091044,1,bayesian,1,5,1,1,0,0,0,3
20260815_091044,1,bayesian,1,5,1,1,0,0,0,4
20260815_091044,1,bayesian,1,5,1,0,1,0.354,0.354,10
20260815_091044,1,bayesian,1,5,1,0,0,0,0,-1
20260815_091044,1,bayesian,1,5,1,0,0,0,0,0
20260815_091044,1,bayesian,1,6,1,1,1,0.354,0.354,10
20260815_091044,1,bayesian,1,6,1,1,0,0,0,3
20260815_091044,1,bayesian,1,6,1,1,0,0,0,4
20260815_091044,1,bayesian,1,6,1,0,1,0.354,0.354,10
20260815_091044,1,bayesian,1,6,1,0,0,0,0,-1
20260815_091044,1,bayesian,1,6,1,0,0,0,0,0
20260815_091044,1,bayesian,1,7,1,1,1,0.354,0.354,10
20260815_091044,1,bayesian,1,7,1,1,0,0,0,3
20260815_091044,1,bayesian,1,7,1,1,0,0,0,4
20260815_091044,1,bayesian,1,7,1,0,1,0.354,0.354,10
20260815_091044,1,bayesian,1,7,1,0,0,0,0,-1
20260815_091044,1,bayesian,1,7,1,0,0,0,0,0
20260815_091044,1,bayesian,1,8,1,1,1,0.354,0.354,10
20260815_091044,1,bayesian,1,8,1,1,0,0,0,3
20260815_091044,1,bayesian,1,8,1,1,0,0,0,4
20260815_091044,1,bayesian,1,8,1,0,1,0.354,0.354,10
20260815_091044,1,bayesian,1,8,1,0,0,0,0,-1
20260815_091044,1,bayesian,1,8,1,0,0,0,0,0
20260815_091044,1,bayesian,1,13,2,1,1,0.724,0.724,10
20260815_091044,1,bayesian,1,13,2,1,0,0,0,3
20260815_091044,1,bayesian,1,13,2,1,0,0,0,4
20260815_091044,1,bayesian,1,13,2,0,1,0.724,0.724,10
20260815_091044,1,bayesian,1,13,2,0,0,0,0,-1
20260815_091044,1,bayesian,1,13,2,0,0,0,0,0
20260815_091044,2,bayesian,1,4,1,1,1,0.374,0.374,4
20260815_091044,2,bayesian,1,4,1,1,0,0,0,1
20260815_091044,2,bayesian,1,4,1,1,0,0,0,9
20260815_091044,2,bayesian,1,4,1,0,1,0.374,0.374,10
