session_id,match_index,agent_label,bayesian_on,completed,winner,ai_score,player_score,ai_turns,ai_swaps,ai_discards,ai_swap_value_delta_avg,ai_unknown_swaps,ai_hidden_own_avg,ai_match_attempts,ai_match_success,ai_match_fail,ai_matches_on_own,ai_matches_on_opponent,ai_penalties,ai_power_cards_drawn,ai_powers_played,ai_power_look_own,ai_power_look_opp,ai_power_blind_swap,ai_power_look_swap,ai_decision_ms_avg
20260809_014139,1,ICMCTS,0,1,AI,2,54,7,4,2,2.75,2,1.3,5,4,1,2,2,1,3,1,0,1,0,0,243.313
20260809_014139,2,ICMCTS,0,1,AI,7,21,3,1,1,-7,0,1.625,2,2,0,2,0,0,1,1,1,0,0,0,249.714
20260809_014139,3,ICMCTS,0,1,Player,11,3,3,2,0,-8,1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,244.4
20260809_014139,4,ICMCTS,0,1,AI,12,18,4,4,0,-4.75,2,1.25,0,0,0,0,0,0,0,0,0,0,0,0,238.5
20260809_014139,5,ICMCTS,0,1,Draw,20,20,5,3,1,-3.333,2,1.273,1,1,0,1,0,0,1,1,0,0,1,0,251.727
20260809_014139,6,ICMCTS,0,1,Player,24,20,5,4,1,-4.5,2,1.533,4,1,3,1,0,3,2,1,0,1,0,0,248.273
20260809_014139,7,ICMCTS,0,1,AI,8,21,3,2,0,4.5,2,1,2,2,0,2,0,0,1,0,0,0,0,0,256
20260809_014139,8,ICMCTS,0,1,AI,13,20,6,3,2,-5.667,1,1.923,1,1,0,1,0,0,2,1,0,1,0,0,259.333
20260809_014139,9,ICMCTS,0,1,AI,8,15,4,3,1,-4.333,2,2,0,0,0,0,0,0,1,1,0,0,1,0,224.9
20260809_014139,10,ICMCTS,0,1,AI,3,19,4,1,2,-11,0,1.917,1,1,0,1,0,0,2,2,0,1,1,0,258.8
20260809_014139,11,ICMCTS,0,1,AI,14,16,5,3,2,-3,2,2.267,2,1,1,1,0,1,2,2,1,1,0,0,245.583
20260809_014139,12,ICMCTS,0,1,Draw,10,10,7,5,1,-3.6,1,1.188,4,3,1,3,0,1,1,0,0,0,0,0,248.308
20260809_020152,1,ICMCTS,0,1,AI,2,21,3,2,0,-4.5,2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,236.4
20260809_020152,2,ICMCTS,0,1,Player,20,18,4,1,2,-4,0,1.75,0,0,0,0,0,0,3,2,2,0,0,0,221.1
20260809_020152,3,ICMCTS,0,1,AI,6,13,7,4,2,-5.5,3,1.765,0,0,0,0,0,0,2,2,1,1,0,0,226.733
20260809_020152,4,ICMCTS,0,1,AI,10,17,3,2,0,-5,2,2.143,3,2,1,2,0,1,0,0,0,0,0,0,232.2
20260809_020152,5,ICMCTS,0,1,Player,10,7,7,2,4,-5.5,2,1.059,0,0,0,0,0,0,2,2,0,1,1,0,230.313
20260809_020152,6,ICMCTS,0,1,AI,9,11,3,2,0,-5.5,2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,226.4
20260809_020152,7,ICMCTS,0,1,AI,8,20,4,2,2,-7,1,1.692,1,0,1,0,0,1,2,2,0,1,1,0,217.545
20260809_020152,8,ICMCTS,0,1,AI,13,16,8,1,7,-4,0,1.969,2,0,2,0,0,2,7,7,3,1,3,0,226.231
20260809_020152,9,ICMCTS,0,1,AI,10,15,5,3,1,-5.333,2,1.364,1,1,0,1,0,0,1,1,0,0,1,0,226.273
20260809_020152,10,ICMCTS,0,1,Player,63,14,9,2,6,1,1,3.583,6,0,6,0,0,4,1,0,0,0,0,0,232.056
20260809_020152,11,ICMCTS,0,1,Player,30,17,7,3,4,-4.333,1,2.593,5,0,5,0,0,4,5,4,1,2,1,0,224.158
20260809_183235,1,ICMCTS,0,1,Player,15,14,3,3,0,-3.333,1,2.625,3,1,2,1,0,2,1,0,0,0,0,0,152
20260809_183235,2,ICMCTS,0,1,AI,3,21,2,0,1,,0,1.571,2,2,0,2,0,0,1,1,1,0,0,0,193.4
20260809_183235,3,ICMCTS,0,1,AI,7,13,7,3,3,-3.667,1,2.316,1,1,0,1,0,0,3,3,1,0,2,0,198.278
20260809_183235,4,ICMCTS,0,1,Player,27,15,4,3,1,0.333,0,3.231,3,1,2,1,0,2,3,1,0,0,1,0,185.3
20260809_183235,5,ICMCTS,0,1,AI,7,13,7,5,1,-4,2,1.286,1,1,0,1,0,0,1,0,0,0,0,0,198.214
20260809_183235,6,ICMCTS,0,1,AI,13,16,3,3,0,-6.333,2,1.667,0,0,0,0,0,0,0,0,0,0,0,0,190.333
20260809_183235,7,ICMCTS,0,1,AI,8,19,5,1,3,-3,1,2,2,2,0,1,1,0,2,1,0,0,1,0,202.692
20260809_183235,8,ICMCTS,0,1,AI,9,17,6,3,3,-4.333,1,1.529,1,1,0,1,0,0,3,2,1,0,1,0,190.067
20260809_183235,9,ICMCTS,0,1,AI,2,13,5,1,3,-10,1,1.923,1,1,0,1,0,0,3,2,0,1,1,0,194.667
20260809_183235,10,ICMCTS,0,1,Player,25,8,4,3,1,-3.333,0,3.615,4,1,3,1,0,3,2,1,0,0,1,0,192.1
20260809_183235,11,ICMCTS,0,1,AI,7,17,3,0,2,,0,1.364,2,2,0,2,0,0,2,2,2,0,0,0,195.375
